date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
EmToxPharm1,ACLS: VASOPRESSOR/ANTIARRHYTHMIC,EPINEPHRINE,AMIODARONE,LIDOCAINE,VASOPRESSIN,STEP1,,,,,
EmToxPharm2,ACLS: BRADYCARDIA (SELECT),ATROPINE,EPINEPHRINE,DOPAMINE,ISOPROTERENOL,STEP1,,,,,
EmToxPharm3,STATUS EPILEPTICUS (CORE),LORAZEPAM,MIDAZOLAM,LEVETIRACETAM,FOSPHENYTOIN,STEP1,,,,,
EmToxPharm4,RSI INDUCTION AGENTS,ETOMIDATE,KETAMINE,PROPOFOL,MIDAZOLAM,STEP1,,,,,
EmToxPharm5,RSI PARALYTICS,SUCCINYLCHOLINE,ROCURONIUM,VECURONIUM,CISATRACURIUM,STEP1,,,,,
EmToxPharm6,SEDATION/ANALGESIA (VENTED PATIENT),PROPOFOL,DEXMEDETOMIDINE,FENTANYL,MIDAZOLAM,STEP1,,,,,
EmToxPharm7,ANALGESIA (ED),FENTANYL,MORPHINE,HYDROMORPHONE,KETOROLAC,STEP1,,,,,
EmToxPharm8,ANAPHYLAXIS (CORE),EPINEPHRINE (IM),DIPHENHYDRAMINE,FAMOTIDINE,GLUCOCORTICOID,STEP1,,,,,
EmToxPharm9,ASTHMA EXACERBATION (SEVERE),ALBUTEROL,IPRATROPIUM,METHYLPREDNISOLONE,MAGNESIUM SULFATE,STEP1,,,,,
EmToxPharm10,COPD EXACERBATION (SELECT),ALBUTEROL,IPRATROPIUM,PREDNISONE,AZITHROMYCIN,STEP1,,,,,
EmToxPharm11,HYPERKALEMIA EMERGENT,CALCIUM GLUCONATE,INSULIN REGULAR + DEXTROSE,ALBUTEROL,SODIUM BICARBONATE,STEP1,,,,,
EmToxPharm12,HYPONATREMIA SEIZURE/SEVERE,HYPERTONIC SALINE,MIDAZOLAM,FUROSEMIDE,DESMOPRESSIN (DDAVP CLAMP),STEP1,,,,,
EmToxPharm13,HYPERTENSIVE EMERGENCY (SELECT),NICARDIPINE,CLEVIDIPINE,LABETALOL,NITROPRUSSIDE,STEP1,,,,,
EmToxPharm14,HYPOTENSION/SHOCK PRESSORS,NOREPINEPHRINE,EPINEPHRINE,VASOPRESSIN,PHENYLEPHRINE,STEP1,,,,,
EmToxPharm15,SEPTIC SHOCK ADJUNCTS (SELECT),NOREPINEPHRINE,VASOPRESSIN,HYDROCORTISONE,BROAD-SPECTRUM ANTIBIOTIC,STEP1,,,,,
EmToxPharm16,DIABETIC KETOACIDOSIS (CORE),INSULIN REGULAR (IV),IV FLUIDS,POTASSIUM CHLORIDE,DEXTROSE INFUSION,STEP1,,,,,
EmToxPharm17,AGITATION/DELIRIUM (SELECT),HALOPERIDOL,OLANZAPINE,DROPERIDOL,MIDAZOLAM,STEP1,,,,,
EmToxPharm18,ACUTE ALCOHOL WITHDRAWAL,DIAZEPAM,LORAZEPAM,PHENOBARBITAL,THIAMINE,STEP1,,,,,
EmToxPharm19,OPIOID TOXICITY,NALOXONE,NALOXONE INFUSION,AIRWAY SUPPORT,BUPRENORPHINE,STEP1,,,,,
EmToxPharm20,BENZODIAZEPINE TOXICITY (SELECT),FLUMAZENIL,SUPPORTIVE CARE,AIRWAY SUPPORT,ACTIVATED CHARCOAL,STEP1,,,,,
EmToxPharm21,ACETAMINOPHEN TOXICITY,N-ACETYLCYSTEINE,ACTIVATED CHARCOAL,ANTIEMETIC,IV FLUIDS,STEP1,,,,,
EmToxPharm22,SALICYLATE TOXICITY,SODIUM BICARBONATE,ACTIVATED CHARCOAL,POTASSIUM,HEMODIALYSIS,STEP1,,,,,
EmToxPharm23,ETHYLENE GLYCOL / METHANOL,FOMEPIZOLE,ETHANOL (ALT),SODIUM BICARBONATE,HEMODIALYSIS,STEP1,,,,,
EmToxPharm24,CYANIDE TOXICITY,HYDROXOCOBALAMIN,SODIUM THIOSULFATE,AMYL NITRITE,SUPPORTIVE CARE,STEP1,,,,,
EmToxPharm25,CARBON MONOXIDE,100% OXYGEN,HYPERBARIC OXYGEN,SUPPORTIVE CARE,ALBUTEROL (INHALED),STEP1,,,,,
EmToxPharm26,BETA-BLOCKER OVERDOSE,GLUCAGON,INSULIN REGULAR (HIGH-DOSE),NOREPINEPHRINE,LIPID EMULSION,STEP1,,,,,
EmToxPharm27,CALCIUM CHANNEL BLOCKER OVERDOSE,CALCIUM,INSULIN REGULAR (HIGH-DOSE),NOREPINEPHRINE,LIPID EMULSION,STEP1,,,,,
EmToxPharm28,TRICYCLIC ANTIDEPRESSANT TOXICITY,SODIUM BICARBONATE,MIDAZOLAM,NOREPINEPHRINE,LIDOCAINE (REFRACTORY),STEP1,,,,,
EmToxPharm29,ORGANOPHOSPHATE POISONING,ATROPINE,PRALIDOXIME,MIDAZOLAM,DECONTAMINATION,STEP1,,,,,
EmToxPharm30,ANTICHOLINERGIC TOXIDROME (SELECT),PHYSOSTIGMINE,MIDAZOLAM,COOLING,IV FLUIDS,STEP1,,,,,
EmToxPharm31,SEROTONIN SYNDROME,CYPROHEPTADINE,MIDAZOLAM,COOLING,IV FLUIDS,STEP1,,,,,
EmToxPharm32,NEUROLEPTIC MALIGNANT SYNDROME (SELECT),DANTROLENE,BROMOCRIPTINE,MIDAZOLAM,COOLING,STEP1,,,,,
EmToxPharm33,MALIGNANT HYPERTHERMIA (ANESTHESIA),DANTROLENE,COOLING,SODIUM BICARBONATE,TREAT HYPERKALEMIA,STEP1,,,,,
EmToxPharm34,LOCAL ANESTHETIC SYSTEMIC TOXICITY (LAST),20% LIPID EMULSION,MIDAZOLAM,AIRWAY SUPPORT,EPINEPHRINE (LOW DOSE),STEP1,,,,,
EmToxPharm35,DIGOXIN TOXICITY,DIGOXIN IMMUNE FAB,ATROPINE,MAGNESIUM,PACER (CONTEXT),STEP1,,,,,
