date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
EndoPharm1,INSULINS: RAPID-ACTING,LISPRO,ASPART,GLULISINE,INHALED INSULIN,STEP1,,,,,
EndoPharm2,INSULINS: SHORT-ACTING,REGULAR INSULIN,U-500 REGULAR INSULIN,NPH INSULIN,MIXED INSULIN,STEP1,,,,,
EndoPharm3,INSULINS: INTERMEDIATE-ACTING,NPH INSULIN,PREMIX 70/30,PREMIX 75/25,PREMIX 50/50,STEP1,,,,,
EndoPharm4,INSULINS: LONG/ULTRA-LONG,GLARGINE,DETEMIR,DEGLUDEC,GLARGINE U-300,STEP1,,,,,
EndoPharm5,TYPE 2 DIABETES: BIGUANIDE,METFORMIN,METFORMIN XR,INSULIN GLARGINE,EMPAGLIFLOZIN,STEP1,,,,,
EndoPharm6,TYPE 2 DIABETES: SGLT2 INHIBITORS,EMPAGLIFLOZIN,DAPAGLIFLOZIN,CANAGLIFLOZIN,ERTUGLIFLOZIN,STEP1,,,,,
EndoPharm7,TYPE 2 DIABETES: GLP-1 RECEPTOR AGONISTS,SEMAGLUTIDE,LIRAGLUTIDE,DULAGLUTIDE,EXENATIDE,STEP1,,,,,
EndoPharm8,TYPE 2 DIABETES: DPP-4 INHIBITORS,SITAGLIPTIN,LINAGLIPTIN,SAXAGLIPTIN,ALOG LIPTIN,STEP1,,,,,
EndoPharm9,TYPE 2 DIABETES: SULFONYLUREAS,GLIPIZIDE,GLYBURIDE,GLIMEPIRIDE,TOLBUTAMIDE,STEP1,,,,,
EndoPharm10,TYPE 2 DIABETES: MEGLITINIDES,REPAGLINIDE,NATEGLINIDE,GLIPIZIDE,METFORMIN,STEP1,,,,,
EndoPharm11,TYPE 2 DIABETES: THIAZOLIDINEDIONES,PIOGLITAZONE,ROSIGLITAZONE,METFORMIN,INSULIN GLARGINE,STEP1,,,,,
EndoPharm12,TYPE 2 DIABETES: ALPHA-GLUCOSIDASE INHIBITORS,ACARBOSE,MIGLITOL,METFORMIN,INSULIN GLARGINE,STEP1,,,,,
EndoPharm13,TYPE 2 DIABETES: AMYLIN ANALOG,PRAMLINTIDE,INSULIN LISPRO,METFORMIN,SEMAGLUTIDE,STEP1,,,,,
EndoPharm14,TYPE 2 DIABETES: DUAL GIP/GLP-1 AGONIST,TIRZEPATIDE,SEMAGLUTIDE,METFORMIN,EMPAGLIFLOZIN,STEP1,,,,,
EndoPharm15,HYPOGLYCEMIA RESCUE,GLUCAGON,DEXTROSE 50%,DEXTROSE 10% INFUSION,ORAL GLUCOSE,STEP1,,,,,
EndoPharm16,DIABETIC KETOACIDOSIS (CORE),INSULIN REGULAR (IV),IV FLUIDS,POTASSIUM CHLORIDE,DEXTROSE INFUSION,STEP1,,,,,
EndoPharm17,HYPERTHYROIDISM: THIONAMIDES,METHIMAZOLE,PROPYLTHIOURACIL,METOPROLOL,IODINE,STEP1,,,,,
EndoPharm18,HYPERTHYROIDISM: ADJUNCTS/THYROID STORM (SELECT),PROPYLTHIOURACIL,PROPRANOLOL,IODINE (LUGOL),HYDROCORTISONE,STEP1,,,,,
EndoPharm19,HYPOTHYROIDISM: THYROID HORMONE,LEVOTHYROXINE,LIOTHYRONINE,DESICCATED THYROID,LEVOTHYROXINE IV,STEP1,,,,,
EndoPharm20,MYXEDEMA COMA (SELECT),LEVOTHYROXINE IV,LIOTHYRONINE,HYDROCORTISONE,WARMING/VENTILATION,STEP1,,,,,
