date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
GIPharm1,PROTON PUMP INHIBITORS (PPIS),OMEPRAZOLE,PANTOPRAZOLE,ESOMEPRAZOLE,LANSOPRAZOLE,STEP1,,,,,
GIPharm2,H2 RECEPTOR ANTAGONISTS,FAMOTIDINE,CIMETIDINE,NIZATIDINE,RANITIDINE,STEP1,,,,,
GIPharm3,ANTACIDS,CALCIUM CARBONATE,ALUMINUM HYDROXIDE,MAGNESIUM HYDROXIDE,SODIUM BICARBONATE,STEP1,,,,,
GIPharm4,MUCOSAL PROTECTANTS,SUCRALFATE,BISMUTH SUBSALICYLATE,MISOPROSTOL,ALGINATE (ALGINIC ACID),STEP1,,,,,
GIPharm5,H. PYLORI: BISMUTH QUADRUPLE THERAPY COMPONENTS,OMEPRAZOLE,BISMUTH,TETRACYCLINE,METRONIDAZOLE,STEP1,,,,,
GIPharm6,H. PYLORI: CONCOMITANT THERAPY COMPONENTS,OMEPRAZOLE,AMOXICILLIN,CLARITHROMYCIN,METRONIDAZOLE,STEP1,,,,,
GIPharm7,NSAID-ASSOCIATED ULCER PREVENTION (SELECT),OMEPRAZOLE,MISOPROSTOL,FAMOTIDINE,SUCRALFATE,STEP1,,,,,
GIPharm8,UPPER GI BLEED: ACID SUPPRESSION,PANTOPRAZOLE (IV),OMEPRAZOLE,FAMOTIDINE,SUCRALFATE,STEP1,,,,,
GIPharm9,VARICEAL BLEED: PHARMACOLOGIC THERAPIES (SELECT),OCTREOTIDE,TERLIPRESSIN,CEFTRIAXONE,PROPRANOLOL,STEP1,,,,,
GIPharm10,PORTAL HYPERTENSION PROPHYLAXIS (NONSELECTIVE BETA BLOCKERS),PROPRANOLOL,NADOLOL,CARVEDILOL,OCTREOTIDE,STEP1,,,,,
GIPharm11,HEPATIC ENCEPHALOPATHY (COMMON),LACTULOSE,RIFAXIMIN,NEOMYCIN,METRONIDAZOLE,STEP1,,,,,
GIPharm12,ASCITES (CIRRHOSIS) DIURETICS,SPIRONOLACTONE,FUROSEMIDE,EPLERENONE,BUMETANIDE,STEP1,,,,,
GIPharm13,SPONTANEOUS BACTERIAL PERITONITIS (SBP) TREATMENT,CEFTRIAXONE,CEFOTAXIME,PIPERACILLIN-TAZOBACTAM,ALBUMIN,STEP1,,,,,
