date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
ImmunoPharm1,SYSTEMIC GLUCOCORTICOIDS,PREDNISONE,METHYLPREDNISOLONE,DEXAMETHASONE,HYDROCORTISONE,STEP1,,,,,
ImmunoPharm2,CALCINEURIN INHIBITORS,TACROLIMUS,CYCLOSPORINE,SIROLIMUS,EVEROLIMUS,STEP1,,,,,
ImmunoPharm3,ANTIMETABOLITES / ANTIPROLIFERATIVES,MYCOPHENOLATE MOFETIL,AZATHIOPRINE,METHOTREXATE,LEFLUNOMIDE,STEP1,,,,,
ImmunoPharm4,ALKYLATING IMMUNOSUPPRESSANTS,CYCLOPHOSPHAMIDE,CHLORAMBUCIL,MELPHALAN,BUSULFAN,STEP1,,,,,
ImmunoPharm5,PURINE SYNTHESIS INHIBITORS,MYCOPHENOLATE MOFETIL,AZATHIOPRINE,6-MERCAPTOPURINE,MIZORIBINE,STEP1,,,,,
ImmunoPharm7,ANTI-CD20 B-CELL DEPLETION,RITUXIMAB,OBINUTUZUMAB,OFATUMUMAB,OCRELIZUMAB,STEP1,,,,,
ImmunoPharm8,COMPLEMENT INHIBITORS,ECULIZUMAB,RAVULIZUMAB,SUTIMLIMAB,PEGCETACOPLAN,STEP1,,,,,
ImmunoPharm9,ANTI-TNF BIOLOGICS,ADALIMUMAB,INFLIXIMAB,ETANERCEPT,CERTOLIZUMAB,STEP1,,,,,
ImmunoPharm10,IL-6 PATHWAY INHIBITORS,TOCILIZUMAB,SARILUMAB,SILTUXIMAB,METHOTREXATE,STEP1,,,,,
ImmunoPharm11,IL-1 PATHWAY INHIBITORS,ANAKINRA,CANAKINUMAB,RILONACEPT,TOCILIZUMAB,STEP1,,,,,
ImmunoPharm12,IL-17 PATHWAY INHIBITORS,SECUKINUMAB,IXEKIZUMAB,BRODALUMAB,APREMILAST,STEP1,,,,,
ImmunoPharm13,IL-23 / IL-12-23 INHIBITORS,GUSELKUMAB,RISANKIZUMAB,TILDRAKIZUMAB,USTEKINUMAB,STEP1,,,,,
ImmunoPharm14,ANTI-INTEGRIN,VEDOLIZUMAB,NATALIZUMAB,ETROLIZUMAB,USTEKINUMAB,STEP1,,,,,
ImmunoPharm17,JAK INHIBITORS,TOFACITINIB,UPADACITINIB,BARICITINIB,RUXOLITINIB,STEP1,,,,,
ImmunoPharm18,PDE-4 INHIBITOR,APREMILAST,METHOTREXATE,SULFASALAZINE,LEFLUNOMIDE,STEP1,,,,,
ImmunoPharm19,SPHINGOSINE-1-PHOSPHATE MODULATORS,OZANIMOD,FINGOLIMOD,SIPONIMOD,PONESIMOD,STEP1,,,,,
ImmunoPharm20,TYROSINE KINASE INHIBITORS,IBRUTINIB,ACALABRUTINIB,ZANUBRUTINIB,RUXOLITINIB,STEP1,,,,,
ImmunoPharm21,CHECKPOINT INHIBITORS,PEMBROLIZUMAB,NIVOLUMAB,ATEZOLIZUMAB,IPILIMUMAB,STEP1,,,,,
ImmunoPharm24,ATOPIC/ALLERGIC BIOLOGICS,DUPILUMAB,OMALIZUMAB,TEZEPELUMAB,TRALOKINUMAB,STEP1,,,,,
ImmunoPharm25,ANTI-IGE,OMALIZUMAB,DUPILUMAB,MEPOLIZUMAB,BENRALIZUMAB,STEP1,,,,,
ImmunoPharm26,ANTI-IL5/IL5R,MEPOLIZUMAB,RESLIZUMAB,BENRALIZUMAB,TEZEPELUMAB,STEP1,,,,,
ImmunoPharm27,ANTI-TSLP,TEZEPELUMAB,DUPILUMAB,OMALIZUMAB,MEPOLIZUMAB,STEP1,,,,,
ImmunoPharm28,CSF1R INHIBITO,PEXIDARTINIB,IMATINIB,RUXOLITINIB,TOFACITINIB,STEP1,,,,,
ImmunoPharm29,ANTI-CD52,ALEMTUZUMAB,RITUXIMAB,CYCLOPHOSPHAMIDE,METHYLPREDNISOLONE,STEP1,,,,,
ImmunoPharm31,ANTI-IL4R,DUPILUMAB,TRALOKINUMAB,UPADACITINIB,ABROCITINIB,STEP1,,,,,
ImmunoPharm33,CYTOKINE STORM MANAGEMENT,DEXAMETHASONE,ETOPOSIDE,TOCILIZUMAB,ANAKINRA,STEP1,,,,,
ImmunoPharm35,INFLAMMATORY BOWEL DISEASE BIOLOGICS,INFLIXIMAB,ADALIMUMAB,VEDOLIZUMAB,USTEKINUMAB,STEP1,,,,,
ImmunoPharm42,RA BIOLOGICS,ABATACEPT,TOCILIZUMAB,ADALIMUMAB,RITUXIMAB,STEP1,,,,,
