date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
PedsPharm1,NEONATAL SEPSIS EMPIRIC (EARLY ONSET),AMPICILLIN,GENTAMICIN,CEFOTAXIME,ACYCLOVIR (IF INDICATED),STEP1,,,,,
PedsPharm2,NEONATAL HSV (SELECT),ACYCLOVIR,AMPICILLIN,GENTAMICIN,VANCOMYCIN,STEP1,,,,,
PedsPharm3,PEDIATRIC COMMUNITY-ACQUIRED PNEUMONIA (OUTPATIENT),AMOXICILLIN,AZITHROMYCIN,CEFDINIR,DOXYCYCLINE (OLDER CHILD),STEP1,,,,,
PedsPharm4,PEDIATRIC CAP (INPATIENT),AMPICILLIN,CEFTRIAXONE,AZITHROMYCIN,VANCOMYCIN,STEP1,,,,,
PedsPharm5,ACUTE OTITIS MEDIA,AMOXICILLIN,AMOXICILLIN-CLAVULANATE,CEFDINIR,CEFUROXIME,STEP1,,,,,
PedsPharm6,STREP PHARYNGITIS,AMOXICILLIN,PENICILLIN V,CEPHALEXIN,AZITHROMYCIN,STEP1,,,,,
PedsPharm7,BRONCHIOLITIS (MEDS OFTEN LIMITED),SUPPORTIVE CARE,ALBUTEROL TRIAL,HYPERTONIC SALINE,SUCTIONING,STEP1,,,,,
PedsPharm8,CROUP,DEXAMETHASONE,RACEMIC EPINEPHRINE,BUDESONIDE (NEB),OXYGEN,STEP1,,,,,
PedsPharm9,PEDIATRIC ASTHMA: RESCUE/ACUTE,ALBUTEROL,IPRATROPIUM,DEXAMETHASONE,MAGNESIUM SULFATE,STEP1,,,,,
PedsPharm10,PEDIATRIC ASTHMA: CONTROLLER,FLUTICASONE (INHALED),MONTELUKAST,FLUTICASONE-SALMETEROL,OMALIZUMAB,STEP1,,,,,
PedsPharm11,ANAPHYLAXIS (PEDIATRIC),EPINEPHRINE (IM),DIPHENHYDRAMINE,FAMOTIDINE,METHYLPREDNISOLONE,STEP1,,,,,
