date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
NeuroPharm1,DRUGS USED AS MOOD STABILIZERS,CARBAMAZEPINE,LAMOTRIGINE,LITHIUM,VALPROATE,STEP1,,,,,
NeuroPharm2,SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIS),CITALOPRAM,FLUOXETINE,PAROXETINE,SERTRALINE,STEP1,,,,,
NeuroPharm2,TRICYCLIC ANTIDEPRESSANTS (TCAS),AMITRIPTYLINE,CLOMIPRAMINE,IMIPRAMINE,NORTRIPTYLINE,STEP1,,,,,
NeuroPharm2,ATYPICAL ANTIDEPRESSANTS,BUPROPION,DULOXETINE,MIRTAZAPINE,VENLAFAXINE,STEP1,,,,,
NeuroPharm5,MEDICATIONS FOR ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD),AMPHETAMINE-DEXTROAMPHETAMINE,ATOMOXETINE,LISDEXAMFETAMINE,METHYLPHENIDATE,STEP1,,,,,
NeuroPharm5,ANTIPSYCHOTIC MEDICATIONS,ARIPIPRAZOLE,CLOZAPINE,HALOPERIDOL,RISPERIDONE,STEP1,,,,,
NeuroPharm9,MEDICATIONS FOR SLEEP DISORDERS,AMITRIPTYLINE,CLONAZEPAM,TRAZODONE,ZOLPIDEM,STEP1,,,,,
NeuroPharm11,LONG-ACTING BENZODIAZEPINES,DIAZEPAM,LORAZEPAM,CLONAZEPAM,ALPRAZOLAM,STEP1,,,,,
NeuroPharm11,NON-BENZODIAZEPINE SEDATIVE-HYPNOTICS,ZALEPLON,ZOLPIDEM,ESZOPICLONE,SUVOREXANT,STEP1,,,,,
NeuroPharm13,ATYPICAL ANTIPSYCHOTIC MEDICATIONS,CLOZAPINE,OLANZAPINE,QUETIAPINE,ZIPRASIDONE,STEP1,,,,,
NeuroPharm14,NON-STIMULANT MEDICATIONS FOR ADHD,ATOMOXETINE,GUANFACINE,CLONIDINE,BUPROPION,STEP1,,,,,
NeuroPharm14,NON-BENZODIAZEPINE ANXIOLYTICS,BUSPIRONE,HYDROXYZINE,PROPRANOLOL,GABAPENTIN,STEP1,,,,,
NeuroPharm14,ATYPICAL ANTIPSYCHOTIC MEDICATIONS,CLOZAPINE,OLANZAPINE,QUETIAPINE,ZIPRASIDONE,STEP1,,,,,
NeuroPharm21,ATYPICAL ANTIPSYCHOTICS,LURASIDONE,ASENAPINE,CARIPRAZINE,ILOPERIDONE,,,,,,
NeuroPharm22,NEWER ANTIDEPRESSANTS,VORTIOXETINE,VILAZODONE,DESVENLAFAXINE,LEVOMILNACIPRAN,,,,,,
NeuroPharmPsych01,SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS (SNRIS),DULOXETINE,VENLAFAXINE,DESVENLAFAXINE,LEVOMILNACIPRAN,STEP1,,,,,
NeuroPharmPsych02,SEROTONIN MODULATORS & OTHER ATYPICAL ANTIDEPRESSANTS,TRAZODONE,VORTIOXETINE,VILAZODONE,BUPROPION,STEP1,,,,,
NeuroPharmPsych03,MONOAMINE OXIDASE INHIBITORS (MAOIS),PHENELZINE,TRANYLCYPROMINE,ISOCARBOXAZID,SELEGILINE,STEP1,,,,,
NeuroPharmPsych04,ANXIOLYTICS (NON-BENZODIAZEPINE),BUSPIRONE,HYDROXYZINE,PREGABALIN,PROPRANOLOL,STEP1,,,,,
NeuroPharmPsych05,BENZODIAZEPINES (SHORT-INTERMEDIATE ACTING),ALPRAZOLAM,LORAZEPAM,OXAZEPAM,TEMAZEPAM,STEP1,,,,,
NeuroPharmPsych06,BENZODIAZEPINES (LONG-ACTING),DIAZEPAM,CLONAZEPAM,CHLORDIAZEPOXIDE,CLOBAZAM,STEP1,,,,,
NeuroPharmPsych07,FIRST-GENERATION (TYPICAL) ANTIPSYCHOTICS,HALOPERIDOL,CHLORPROMAZINE,FLUPHENAZINE,THIORIDAZINE,STEP1,,,,,
NeuroPharmPsych08,SECOND-GENERATION (ATYPICAL) ANTIPSYCHOTICS,ARIPIPRAZOLE,OLANZAPINE,QUETIAPINE,RISPERIDONE,STEP1,,,,,
NeuroPharmPsych09,LONG-ACTING INJECTABLE ANTIPSYCHOTICS (LAIS),HALOPERIDOL DECANOATE,FLUPHENAZINE DECANOATE,PALIPERIDONE PALMITATE,ARIPIPRAZOLE LAI,STEP1,,,,,
NeuroPharmPsych10,AGENTS FOR EXTRAPYRAMIDAL SYMPTOMS (EPS),BENZTROPINE,TRIHEXYPHENIDYL,DIPHENHYDRAMINE,AMANTADINE,STEP1,,,,,
NeuroPharmPsych11,MOOD STABILIZERS (BIPOLAR DISORDER),LITHIUM,VALPROATE,LAMOTRIGINE,CARBAMAZEPINE,STEP1,,,,,
NeuroPharmPsych12,ADJUNCTIVE AGENTS FOR BIPOLAR DEPRESSION,QUETIAPINE,LURASIDONE,OLANZAPINE-FLUOXETINE,LAMOTRIGINE,STEP1,,,,,
NeuroPharmPsych13,ADHD STIMULANTS,METHYLPHENIDATE,DEXMETHYLPHENIDYL,LISDEXAMFETAMINE,AMPHETAMINE-DEXTROAMPHETAMINE,STEP1,,,,,
NeuroPharmPsych14,ADHD NON-STIMULANTS,ATOMOXETINE,GUANFACINE,CLONIDINE,BUPROPION,STEP1,,,,,
NeuroPharmPsych15,INSOMNIA: “Z-DRUG” HYPNOTICS,ZOLPIDEM,ESZOPICLONE,ZALEPLON,TEMAZEPAM,STEP1,,,,,
NeuroPharmPsych16,INSOMNIA: OREXIN RECEPTOR ANTAGONISTS & RELATED,SUVOREXANT,LEMBOREXANT,DARIDOREXANT,DOXEPIN,STEP1,,,,,
NeuroPharmPsych17,MELATONERGIC & OTHER SLEEP AGENTS,MELATONIN,RAMELTEON,DOXEPIN,TRAZODONE,STEP1,,,,,
NeuroPharmPsych18,MEDICATIONS FOR ALCOHOL USE DISORDER,NALTREXONE,ACAMPROSATE,DISULFIRAM,TOPIRAMATE,STEP1,,,,,
NeuroPharmPsych19,MEDICATIONS FOR OPIOID USE DISORDER,BUPRENORPHINE,BUPRENORPHINE-NALOXONE,METHADONE,NALTREXONE,STEP1,,,,,
NeuroPharmPsych20,PTSD/NIGHTMARES: COMMON ADJUNCTIVE AGENTS,PRAZOSIN,CLONIDINE,GUANFACINE,PROPRANOLOL,STEP1,,,,,
NeuroPharmPsych21,WAKE-PROMOTING AGENTS (NARCOLEPSY/EXCESSIVE SLEEPINESS),MODAFINIL,ARMODAFINIL,METHYLPHENIDATE,AMPHETAMINE-DEXTROAMPHETAMINE,STEP1,,,,,
