date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
PulmoPharm1,SHORT-ACTING BETA-2 AGONISTS (SABA),ALBUTEROL,LEVALBUTEROL,TERBUTALINE,EPINEPHRINE,STEP1,,,,,
PulmoPharm2,SHORT-ACTING MUSCARINIC ANTAGONISTS (SAMA),IPRATROPIUM,TIOTROPIUM,ACLIDINIUM,GLYCOPYRROLATE,STEP1,,,,,
PulmoPharm3,INHALED CORTICOSTEROIDS (ICS),BUDESONIDE,FLUTICASONE,BECLOMETHASONE,MOMETASONE,STEP1,,,,,
PulmoPharm4,LONG-ACTING BETA-2 AGONISTS (LABA),SALMETEROL,FORMOTEROL,VILANTEROL,INDACATEROL,STEP1,,,,,
PulmoPharm5,LONG-ACTING MUSCARINIC ANTAGONISTS (LAMA),TIOTROPIUM,UMECLIDINIUM,ACLIDINIUM,GLYCOPYRROLATE,STEP1,,,,,
PulmoPharm6,ICS/LABA COMBINATION INHALERS,BUDESONIDE-FORMOTEROL,FLUTICASONE-SALMETEROL,FLUTICASONE-VILANTEROL,MOMETASONE-FORMOTEROL,STEP1,,,,,
PulmoPharm7,LAMA/LABA COMBINATION INHALERS,UMECLIDINIUM-VILANTEROL,TIOTROPIUM-OLODATEROL,GLYCOPYRROLATE-FORMOTEROL,ACLIDINIUM-FORMOTEROL,STEP1,,,,,
PulmoPharm8,TRIPLE THERAPY INHALERS (ICS/LABA/LAMA),FLUTICASONE-UMECLIDINIUM-VILANTEROL,BUDESONIDE-GLYCOPYRROLATE-FORMOTEROL,BECLOMETHASONE-FORMOTEROL-GLYCOPYRRONIUM,MOMETASONE-INDACATEROL-GLYCOPYRRONIUM,STEP1,,,,,
PulmoPharm9,LEUKOTRIENE MODIFIERS,MONTELUKAST,ZAFIRLUKAST,ZILEUTON,DUPILUMAB,STEP1,,,,,
PulmoPharm10,MAST CELL STABILIZERS & RELATED,CROMOLYN,NEDOCROMIL,OMALIZUMAB,IPRATROPIUM,STEP1,,,,,
PulmoPharm11,SEVERE ASTHMA BIOLOGICS (IGE/IL5/IL4R/TSLP),OMALIZUMAB,MEPOLIZUMAB,BENRALIZUMAB,TEZEPELUMAB,STEP1,,,,,
PulmoPharm12,SEVERE ASTHMA BIOLOGICS (ALTERNATIVES),RESLIZUMAB,DUPILUMAB,MEPOLIZUMAB,OMALIZUMAB,STEP1,,,,,
PulmoPharm13,STATUS ASTHMATICUS: ACUTE ADJUNCTS,IPRATROPIUM,METHYLPREDNISOLONE,MAGNESIUM SULFATE,EPINEPHRINE,STEP1,,,,,
PulmoPharm14,SYSTEMIC CORTICOSTEROIDS (PULMONARY USES),PREDNISONE,METHYLPREDNISOLONE,DEXAMETHASONE,HYDROCORTISONE,STEP1,,,,,
PulmoPharm15,COPD: EXACERBATION PHARMACOTHERAPY (COMMON),PREDNISONE,ALBUTEROL,IPRATROPIUM,AZITHROMYCIN,STEP1,,,,,
PulmoPharm16,COPD: PDE-4 INHIBITOR,ROFLUMILAST,PREDNISONE,TIOTROPIUM,AZITHROMYCIN,STEP1,,,,,
PulmoPharm17,THEOPHYLLINE & METHYLXANTHINES,THEOPHYLLINE,AMINOPHYLLINE,CAFFEINE,ALBUTEROL,STEP1,,,,,
PulmoPharm18,MUCOLYTICS & AIRWAY HYDRATORS,ACETYLCYSTEINE,HYPERTONIC SALINE,GUAIFENESIN,CARBOCISTEINE,STEP1,,,,,
PulmoPharm19,ANTITUSSIVES (SELECT),DEXTROMETHORPHAN,BENZONATATE,CODEINE,GABAPENTIN,STEP1,,,,,
PulmoPharm20,ALLERGIC RHINITIS/UPPER AIRWAY INFLAMMATION (COMMON),FLUTICASONE (INTRANASAL),AZELASTINE,CETIRIZINE,MONTELUKAST,STEP1,,,,,
PulmoPharm21,COMMUNITY-ACQUIRED PNEUMONIA (OUTPATIENT OPTIONS),AMOXICILLIN,DOXYCYCLINE,AZITHROMYCIN,AMOXICILLIN-CLAVULANATE,STEP1,,,,,
PulmoPharm22,COMMUNITY-ACQUIRED PNEUMONIA (INPATIENT COMMON),CEFTRIAXONE,AZITHROMYCIN,LEVOFLOXACIN,AMPICILLIN-SULBACTAM,STEP1,,,,,
PulmoPharm23,HOSPITAL-ACQUIRED/VENTILATOR-ASSOCIATED PNEUMONIA (BROAD),PIPERACILLIN-TAZOBACTAM,CEFEPIME,MEROPENEM,VANCOMYCIN,STEP1,,,,,
PulmoPharm24,ATYPICAL PNEUMONIA AGENTS,AZITHROMYCIN,DOXYCYCLINE,LEVOFLOXACIN,MOXIFLOXACIN,STEP1,,,,,
PulmoPharm25,INFLUENZA ANTIVIRALS,OSELTAMIVIR,ZANAMIVIR,PERAMIVIR,BALOXAVIR,STEP1,,,,,
PulmoPharm26,"COVID-19 (SELECT THERAPEUTICS, CONTEXT-DEPENDENT)",REMDESIVIR,DEXAMETHASONE,TOCILIZUMAB,BARICITINIB,STEP1,,,,,
PulmoPharm27,PNEUMOCYSTIS JIROVECII PNEUMONIA (PJP) TREATMENT,TRIMETHOPRIM-SULFAMETHOXAZOLE,ATOVAQUONE,PENTAMIDINE,DAPSONE,STEP1,,,,,
PulmoPharm28,TUBERCULOSIS FIRST-LINE THERAPY (RIPE),RIFAMPIN,ISONIAZID,PYRAZINAMIDE,ETHAMBUTOL,STEP1,,,,,
PulmoPharm29,LATENT TB INFECTION (COMMON REGIMEN AGENTS),ISONIAZID,RIFAMPIN,RIFAPENTINE,PYRIDOXINE (VITAMIN B6),STEP1,,,,,
PulmoPharm30,ASPERGILLUS/ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS (ABPA),VORICONAZOLE,ITRACONAZOLE,PREDNISONE,OMALIZUMAB,STEP1,,,,,
PulmoPharm31,ENDOTRACHEAL INTUBATION: RAPID SEQUENCE (SELECT),ETOMIDATE,KETAMINE,SUCCINYLCHOLINE,ROCURONIUM,STEP1,,,,,
PulmoPharm32,SEDATION/ANALGESIA ON THE VENTILATOR (COMMON),PROPOFOL,DEXMEDETOMIDINE,FENTANYL,MIDAZOLAM,STEP1,,,,,
PulmoPharm33,NEUROMUSCULAR BLOCKADE (VENTILATOR/ARDS CONTEXT),CISATRACURIUM,VECURONIUM,ROCURONIUM,ATRACURIUM,STEP1,,,,,
PulmoPharm34,ARDS: SELECT PHARMACOLOGIC CONSIDERATIONS,CISATRACURIUM,NOREPINEPHRINE,FUROSEMIDE,DEXMEDETOMIDINE,STEP1,,,,,
PulmoPharm35,PULMONARY FIBROSIS (ANTIFIBROTICS),NINTEDANIB,PIRFENIDONE,PREDNISONE,MYCOPHENOLATE MOFETIL,STEP1,,,,,
PulmoPharm36,INTERSTITIAL LUNG DISEASE (IMMUNOSUPPRESSION OPTIONS),MYCOPHENOLATE MOFETIL,AZATHIOPRINE,CYCLOPHOSPHAMIDE,RITUXIMAB,STEP1,,,,,
PulmoPharm37,SARCOIDOSIS THERAPIES (COMMON),PREDNISONE,METHOTREXATE,AZATHIOPRINE,INFLIXIMAB,STEP1,,,,,
PulmoPharm38,ALPHA-1 ANTITRYPSIN DEFICIENCY (AUGMENTATION),ALPHA-1 PROTEINASE INHIBITOR,TIOTROPIUM,ALBUTEROL,PREDNISONE,STEP1,,,,,
PulmoPharm39,CYSTIC FIBROSIS: AIRWAY CLEARANCE MEDS,DORNASE ALFA,HYPERTONIC SALINE,ALBUTEROL,ACETYLCYSTEINE,STEP1,,,,,
PulmoPharm40,CYSTIC FIBROSIS: INHALED ANTIBIOTICS,TOBRAMYCIN (INHALED),AZTREONAM (INHALED),COLISTIMETHATE,LEVOFLOXACIN (INHALED),STEP1,,,,,
PulmoPharm41,CFTR MODULATORS (CYSTIC FIBROSIS),IVACAFTOR,LUMACAFTOR-IVACAFTOR,TEZACAFTOR-IVACAFTOR,ELEXACAFTOR-TEZACAFTOR-IVACAFTOR,STEP1,,,,,
PulmoPharm42,BRONCHIECTASIS: LONG-TERM/ADJUNCT THERAPIES (SELECT),AZITHROMYCIN,HYPERTONIC SALINE,INHALED TOBRAMYCIN,ALBUTEROL (INHALED),STEP1,,,,,
PulmoPharm43,PLEURAL INFECTION/EMPYEMA: INTRAPLEURAL AGENTS (SELECT),ALTEPLASE,DORNASE ALFA,CEFTRIAXONE,METRONIDAZOLE,STEP1,,,,,
PulmoPharm44,SMOKING CESSATION PHARMACOTHERAPY,VARENICLINE,NICOTINE (TRANSDERMAL PATCH),BUPROPION,CYTISINE,STEP1,,,,,
PulmoPharm45,PULMONARY HYPERTENSION (OVERVIEW AGENTS),SILDENAFIL,BOSENTAN,EPOPROSTENOL,RIOCIGUAT,STEP1,,,,,
