date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
RenalPharm1,LOOP DIURETICS (EDEMA/CKD),FUROSEMIDE,BUMETANIDE,TORSEMIDE,ETHACRYNIC ACID,STEP1,,,,,
RenalPharm2,THIAZIDE & THIAZIDE-LIKE DIURETICS (HTN/CKD),HYDROCHLOROTHIAZIDE,CHLORTHALIDONE,INDAPAMIDE,METOLAZONE,STEP1,,,,,
RenalPharm3,POTASSIUM-SPARING DIURETICS / MRAS,SPIRONOLACTONE,EPLERENONE,AMILORIDE,TRIAMTERENE,STEP1,,,,,
RenalPharm4,ACE INHIBITORS (PROTEINURIA/CKD),LISINOPRIL,ENALAPRIL,RAMIPRIL,CAPTOPRIL,STEP1,,,,,
RenalPharm5,ARBS (PROTEINURIA/CKD),LOSARTAN,VALSARTAN,CANDESARTAN,OLMESARTAN,STEP1,,,,,
RenalPharm6,SGLT2 INHIBITORS (CKD/HF BENEFIT),EMPAGLIFLOZIN,DAPAGLIFLOZIN,CANAGLIFLOZIN,ERTUGLIFLOZIN,STEP1,,,,,
RenalPharm7,NONSTEROIDAL MINERALOCORTICOID RECEPTOR ANTAGONIST (CKD),FINERENONE,SPIRONOLACTONE,EPLERENONE,LOSARTAN,STEP1,,,,,
RenalPharm8,HYPERKALEMIA: POTASSIUM BINDERS,SODIUM ZIRCONIUM CYCLOSILICATE,PATIROMER,SODIUM POLYSTYRENE SULFONATE,FUROSEMIDE,STEP1,,,,,
RenalPharm9,HYPERKALEMIA: EMERGENT TEMPORARY SHIFTING/PROTECTION,CALCIUM GLUCONATE,INSULIN REGULAR + DEXTROSE,ALBUTEROL,SODIUM BICARBONATE,STEP1,,,,,
RenalPharm10,METABOLIC ACIDOSIS (CKD) ALKALI THERAPY,SODIUM BICARBONATE,SODIUM CITRATE,POTASSIUM CITRATE,CALCIUM CARBONATE,STEP1,,,,,
RenalPharm11,CKD-MINERAL BONE DISORDER: PHOSPHATE BINDERS (CALCIUM-BASED),CALCIUM CARBONATE,CALCIUM ACETATE,MAGNESIUM CARBONATE,ALUMINUM HYDROXIDE,STEP1,,,,,
RenalPharm12,CKD-MINERAL BONE DISORDER: PHOSPHATE BINDERS (NON-CALCIUM),SEVELAMER,LANTHANUM,FERRIC CITRATE,SUCROFERRIC OXYHYDROXIDE,STEP1,,,,,
RenalPharm13,SECONDARY HYPERPARATHYROIDISM (CKD): VITAMIN D ANALOGS,CALCITRIOL,ALFACALCIDOL,DOXERCALCIFEROL,PARICALCITOL,STEP1,,,,,
