date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
RheumPharm1,NSAIDS (COMMON),IBUPROFEN,NAPROXEN,DICLOFENAC,INDOMETHACIN,STEP1,,,,,
RheumPharm2,SYSTEMIC GLUCOCORTICOIDS,PREDNISONE,METHYLPREDNISOLONE,DEXAMETHASONE,HYDROCORTISONE,STEP1,,,,,
RheumPharm3,INTRA-ARTICULAR STEROIDS (SELECT),TRIAMCINOLONE,METHYLPREDNISOLONE,BETAMETHASONE,LIDOCAINE,STEP1,,,,,
RheumPharm4,CONVENTIONAL DMARDS (CSDMARDS),METHOTREXATE,HYDROXYCHLOROQUINE,SULFASALAZINE,LEFLUNOMIDE,STEP1,,,,,
RheumPharm5,TNF INHIBITORS,ADALIMUMAB,ETANERCEPT,INFLIXIMAB,GOLIMUMAB,STEP1,,,,,
RheumPharm6,TNF INHIBITORS (ALTERNATIVES),CERTOLIZUMAB,INFLIXIMAB,ADALIMUMAB,ETANERCEPT,STEP1,,,,,
RheumPharm7,IL-6 PATHWAY INHIBITORS,TOCILIZUMAB,SARILUMAB,METHOTREXATE,PREDNISONE,STEP1,,,,,
RheumPharm8,T-CELL CO-STIMULATION MODULATOR,ABATACEPT,METHOTREXATE,LEFLUNOMIDE,PREDNISONE,STEP1,,,,,
RheumPharm9,B-CELL DEPLETION,RITUXIMAB,OCRELIZUMAB,CYCLOPHOSPHAMIDE,AZATHIOPRINE,STEP1,,,,,
RheumPharm10,JAK INHIBITORS,TOFACITINIB,UPADACITINIB,BARICITINIB,FILGOTINIB,STEP1,,,,,
RheumPharm11,IL-17 INHIBITORS (SPONDYLOARTHRITIS/PSA),SECUKINUMAB,IXEKIZUMAB,BRODALUMAB,METHOTREXATE,STEP1,,,,,
RheumPharm12,IL-23/IL-12-23 INHIBITORS (PSA),USTEKINUMAB,GUSELKUMAB,RISANKIZUMAB,TILDRAKIZUMAB,STEP1,,,,,
RheumPharm13,PDE-4 INHIBITOR (PSA),APREMILAST,METHOTREXATE,SULFASALAZINE,LEFLUNOMIDE,STEP1,,,,,
RheumPharm14,ANKYLOSING SPONDYLITIS (SELECT),ADALIMUMAB,ETANERCEPT,SECUKINUMAB,UPADACITINIB,STEP1,,,,,
RheumPharm15,GOUT: ACUTE FLARE THERAPIES,COLCHICINE,IBUPROFEN,PREDNISONE,ANAKINRA,STEP1,,,,,
RheumPharm16,GOUT: URATE-LOWERING THERAPY,ALLOPURINOL,FEBUXOSTAT,PROBENECID,PEGLOTICASE,STEP1,,,,,
RheumPharm17,CALCIUM PYROPHOSPHATE (CPPD) FLARE,COLCHICINE,IBUPROFEN,TRIAMCINOLONE (INTRA-ARTICULAR),PREDNISONE,STEP1,,,,,
RheumPharm18,SYSTEMIC LUPUS ERYTHEMATOSUS (CORE),HYDROXYCHLOROQUINE,PREDNISONE,AZATHIOPRINE,MYCOPHENOLATE MOFETIL,STEP1,,,,,
RheumPharm19,LUPUS NEPHRITIS (SELECT),MYCOPHENOLATE MOFETIL,CYCLOPHOSPHAMIDE,VOCLOSPORIN,BELIMUMAB,STEP1,,,,,
RheumPharm20,ANTIPHOSPHOLIPID SYNDROME (SELECT),WARFARIN,HEPARIN,ASPIRIN,HYDROXYCHLOROQUINE,STEP1,,,,,
RheumPharm21,RHEUMATOID ARTHRITIS: TREAT-TO-TARGET (SELECT),METHOTREXATE,ABATACEPT,ADALIMUMAB,TOFACITINIB,STEP1,,,,,
RheumPharm22,SJOGREN SYNDROME (SELECT),HYDROXYCHLOROQUINE,PILOCARPINE,CEVIMELINE,RITUXIMAB,STEP1,,,,,
RheumPharm23,GIANT CELL ARTERITIS,HIGH-DOSE PREDNISONE,TOCILIZUMAB,ASPIRIN,METHOTREXATE,STEP1,,,,,
