date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
NeuroPharm1,DRUGS USED IN ESSENTIAL TREMOR,GABAPENTIN,PHENOBARBITAL,PRIMIDONE,PROPRANOLOL,,,,,,
NeuroPharm1,DRUGS AFFECTING DOPAMINERGIC PATHWAYS,BENZTROPINE,HALOPERIDOL,ROPINIROLE,SELEGILINE,,,,,,
NeuroPharm1,DRUGS USED AS MOOD STABILIZERS,CARBAMAZEPINE,LAMOTRIGINE,LITHIUM,VALPROATE,,,,,,
NeuroPharm1,ANTISEIZURE DRUGS,LACOSAMIDE,LEVETIRACETAM,LORAZEPAM,PHENYTOIN,,,,,,
NeuroPharm2,SPASMOLYTICS,BACLOFEN,CYCLOBENZAPRINE,METHOCARBAMOL,TIZANIDINE,,,,,,
NeuroPharm2,SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIS),CITALOPRAM,FLUOXETINE,PAROXETINE,SERTRALINE,,,,,,
NeuroPharm2,TRICYCLIC ANTIDEPRESSANTS (TCAS),AMITRIPTYLINE,CLOMIPRAMINE,IMIPRAMINE,NORTRIPTYLINE,,,,,,
NeuroPharm2,ATYPICAL ANTIDEPRESSANTS,BUPROPION,DULOXETINE,MIRTAZAPINE,VENLAFAXINE,,,,,,
NeuroPharm3,NEUROMUSCULAR BLOCKING AGENTS (PARALYTICS),PANCURONIUM,ROCURONIUM,SUCCINYLCHOLINE,VECURONIUM,,,,,,
NeuroPharm3,MEDICATIONS FOR ELEVATED INTRACRANIAL PRESSURE,ACETAZOLAMIDE,DEXAMETHASONE,HYPERTONIC-SALINE,MANNITOL,,,,,,
NeuroPharm3,ANTI-VEGF THERAPIES FOR MACULAR DEGENERATION,AFLIBERCEPT,BEVACIZUMAB,PEGAPTANIB,RANIBIZUMAB,,,,,,
NeuroPharm3,NON-STEROIDAL ANTI-INFLAMMATORY DRUGS (NSAIDS),DICLOFENAC,IBUPROFEN,KETOROLAC,NAPROXEN,,,,,,
NeuroPharm4,LOCAL ANESTHETICS,BENZOCAINE,BUPIVACAINE,LIDOCAINE,PROCAINE,,,,,,
NeuroPharm4,MEDICATIONS USED IN HUNTINGTON DISEASE,DEUTETRABENAZINE,HALOPERIDOL,TETRABENAZINE,VALBENAZINE,,,,,,
NeuroPharm4,MEDICATIONS THAT CAN INDUCE OR EXACERBATE TREMOR,ALBUTEROL,LITHIUM,METHYLPHENIDATE,VALPROATE,,,,,,
NeuroPharm4,MEDICATIONS USED IN POST-TRAUMATIC STRESS DISORDER (PTSD),PROPRANOLOL,PRAZOSIN,QUETIAPINE,SERTRALINE,,,,,,
NeuroPharm5,MEDICATIONS FOR ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD),AMPHETAMINE-DEXTROAMPHETAMINE,ATOMOXETINE,LISDEXAMFETAMINE,METHYLPHENIDATE,,,,,,
NeuroPharm5,MEDICATIONS FOR OBSESSIVE-COMPULSIVE DISORDER (OCD),CLOMIPRAMINE,FLUOXETINE,FLUVOXAMINE,SERTRALINE,,,,,,
NeuroPharm5,MEDICATIONS USED IN AMYOTROPHIC LATERAL SCLEROSIS (ALS),BACLOFEN,EDARAVONE,RILUZOLE,TIZANIDINE,,,,,,
