date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
AnesthesiaPharm1,IV INDUCTION AGENTS,PROPOFOL,ETOMIDATE,KETAMINE,THIOPENTAL,STEP1,,,,,
AnesthesiaPharm2,VOLATILE INHALATIONAL ANESTHETICS,SEVOFLURANE,ISOFLURANE,DESFLURANE,NITROUS OXIDE,STEP1,,,,,
AnesthesiaPharm3,OPIOID ANALGESICS,FENTANYL,SUFENTANIL,REMIFENTANIL,MORPHINE,STEP1,,,,,
AnesthesiaPharm4,NON-OPIOID ANALGESICS,ACETAMINOPHEN,KETOROLAC,IBUPROFEN,GABAPENTIN,STEP1,,,,,
AnesthesiaPharm5,LOCAL ANESTHETICS,LIDOCAINE,BUPIVACAINE,ROPIVACAINE,MEPIVACAINE,STEP1,,,,,
AnesthesiaPharm7,NEUROMUSCULAR BLOCKERS,SUCCINYLCHOLINE,ROCURONIUM,VECURONIUM,CISATRACURIUM,STEP1,,,,,
AnesthesiaPharm10,REVERSAL OF NEUROMUSCULAR BLOCKADE,SUGAMMADEX,NEOSTIGMINE,GLYCOPYRROLATE,ATROPINE,STEP1,,,,,
AnesthesiaPharm11,ANTICHOLINERGICS (PERIOP USES),ATROPINE,GLYCOPYRROLATE,SCOPOLAMINE,IPRATROPIUM,STEP1,,,,,
AnesthesiaPharm12,ANTIEMETICS,ONDANSETRON,DEXAMETHASONE,DROPERIDOL,APREPITANT,STEP1,,,,,
AnesthesiaPharm13,BENZODIAZEPINES,MIDAZOLAM,LORAZEPAM,DIAZEPAM,ALPRAZOLAM,STEP1,,,,,
AnesthesiaPharm14,SEDATIVE-HYPNOTICS (ICU/PROCEDURAL),PROPOFOL,DEXMEDETOMIDINE,MIDAZOLAM,KETAMINE,STEP1,,,,,
AnesthesiaPharm15,ALPHA-2 AGONISTS,DEXMEDETOMIDINE,CLONIDINE,GUANFACINE,TIZANIDINE,STEP1,,,,,
AnesthesiaPharm16,VASOPRESSORS,PHENYLEPHRINE,NOREPINEPHRINE,EPHEDRINE,VASOPRESSIN,STEP1,,,,,
AnesthesiaPharm17,INOTROPES (PERIOP/ICU),DOBUTAMINE,EPINEPHRINE,MILRINONE,DOPAMINE,STEP1,,,,,
AnesthesiaPharm18,ANTIHYPERTENSIVES USED INTRAOP/ICU,NICARDIPINE,CLEVIDIPINE,ESMOLOL,LABETALOL,STEP1,,,,,
AnesthesiaPharm19,PERIOPERATIVE BETA BLOCKADE AGENTS,ESMOLOL,METOPROLOL,LABETALOL,PROPRANOLOL,STEP1,,,,,
AnesthesiaPharm24,PERIOPERATIVE ANTIBIOTIC PROPHYLAXIS,CEFAZOLIN,CLINDAMYCIN,VANCOMYCIN,METRONIDAZOLE,STEP1,,,,,
AnesthesiaPharm25,ANTIFIBRINOLYTICS (BLEEDING CONTROL),TRANEXAMIC ACID,AMINOCAPROIC ACID,DESMOPRESSIN,PROTHROMBIN COMPLEX CONCENTRATE,STEP1,,,,,
AnesthesiaPharm26,HEMOSTASIS/REVERSAL,PROTAMINE,VITAMIN K,PROTHROMBIN COMPLEX CONCENTRATE,FRESH FROZEN PLASMA,STEP1,,,,,
AnesthesiaPharm31,OB ANESTHESIA: UTEROTONICS,OXYTOCIN,METHYLERGONOVINE,CARBOPROST,MISOPROSTOL,STEP1,,,,,
AnesthesiaPharm32,OB ANESTHESIA: TOCOLYTICS,TERBUTALINE,NIFEDIPINE,INDOMETHACIN,MAGNESIUM SULFATE,STEP1,,,,,
AnesthesiaPharm40,ANTISECRETORY/DRYING AGENTS,GLYCOPYRROLATE,ATROPINE,SCOPOLAMINE,IPRATROPIUM,STEP1,,,,,
AnesthesiaPharm42,PROCEDURAL SEDATION AGENTS,PROPOFOL,KETAMINE,MIDAZOLAM,FENTANYL,STEP1,,,,,
