date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
Antibiotics1,PENICILLINS,PENICILLIN G,PENICILLIN V,AMOXICILLIN,AMPICILLIN,STEP1,,,,,
Antibiotics3,BETA-LACTAM/BETA-LACTAMASE INHIBITORS,AMOXICILLIN-CLAVULANATE,AMPICILLIN-SULBACTAM,PIPERACILLIN-TAZOBACTAM,TICARCILLIN-CLAVULANATE,STEP1,,,,,
Antibiotics4,CEPHALOSPORINS: 1ST GEN,CEFAZOLIN,CEPHALEXIN,CEFADROXIL,CEPHRADINE,STEP1,,,,,
Antibiotics5,CEPHALOSPORINS: 2ND GEN,CEFUROXIME,CEFOXITIN,CEFACLOR,CEFPROZIL,STEP1,,,,,
Antibiotics6,CEPHALOSPORINS: 3RD GEN,CEFTRIAXONE,CEFTAZIDIME,CEFIXIME,CEFPODOXIME,STEP1,,,,,
Antibiotics7,CEPHALOSPORINS: 4TH GEN,CEFEPIME,CEFTAROLINE,CEFTAZIDIME-AVIBACTAM,CEFTOLOZANE-TAZOBACTAM,STEP1,,,,,
Antibiotics8,CEPHALOSPORINS: 5TH/ADVANCED,CEFTAROLINE,CEFTOBIPROLE,CEFTAZIDIME-AVIBACTAM,CEFIDEROCOL,STEP1,,,,,
Antibiotics9,CARBAPENEM ANTIBIOTICS,MEROPENEM,IMIPENEM-CILASTATIN,ERTAPENEM,DORIPENEM,STEP1,,,,,
Antibiotics10,MONOBACTAM ANTIBIOTICS,AZTREONAM,CEFEPIME,MEROPENEM,PIPERACILLIN-TAZOBACTAM,STEP1,,,,,
Antibiotics12,LIPOPEPTIDE ANTIBIOTICS,DAPTOMYCIN,VANCOMYCIN,LINEZOLID,CEFTAROLINE,STEP1,,,,,
Antibiotics14,MACROLIDE ANTIBIOTICS,AZITHROMYCIN,CLARITHROMYCIN,ERYTHROMYCIN,FIDAXOMICIN,STEP1,,,,,
Antibiotics15,TETRACYCLINE  ANTIBIOTICS,DOXYCYCLINE,MINOCYCLINE,TETRACYCLINE,OMADACYCLINE,STEP1,,,,,
Antibiotics17,FLUOROQUINOLONES,CIPROFLOXACIN,LEVOFLOXACIN,MOXIFLOXACIN,DELAFLOXACIN,STEP1,,,,,
Antibiotics18,AMINOGLYCOSIDE ANTIBIOTICS,GENTAMICIN,TOBRAMYCIN,AMIKACIN,STREPTOMYCIN,STEP1,,,,,
Antibiotics19,SULFONAMIDE ANTIBIOTICS,TRIMETHOPRIM-SULFAMETHOXAZOLE,SULFADIAZINE,SULFISOXAZOLE,DAPSONE,STEP1,,,,,
