date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
CardioPharm1,ACE INHIBITORS,LISINOPRIL,ENALAPRIL,RAMIPRIL,CAPTOPRIL,STEP1,,,,,
CardioPharm2,ANGIOTENSIN II RECEPTOR BLOCKERS (ARBS),LOSARTAN,VALSARTAN,CANDESARTAN,OLMESARTAN,STEP1,,,,,
CardioPharm4,THIAZIDE & THIAZIDE-LIKE DIURETICS,HYDROCHLOROTHIAZIDE,CHLORTHALIDONE,INDAPAMIDE,METOLAZONE,STEP1,,,,,
CardioPharm5,LOOP DIURETICS,FUROSEMIDE,BUMETANIDE,TORSEMIDE,ETHACRYNIC ACID,STEP1,,,,,
CardioPharm6,POTASSIUM-SPARING DIURETICS,SPIRONOLACTONE,EPLERENONE,AMILORIDE,TRIAMTERENE,STEP1,,,,,
CardioPharm7,DIHYDROPYRIDINE CALCIUM CHANNEL BLOCKERS,AMLODIPINE,NIFEDIPINE,FELODIPINE,NICARDIPINE,STEP1,,,,,
CardioPharm8,NON-DIHYDROPYRIDINE CALCIUM CHANNEL BLOCKERS,DILTIAZEM,VERAPAMIL,AMIODARONE,METOPROLOL,STEP1,,,,,
CardioPharm9,BETA BLOCKERS (SELECTIVE),METOPROLOL,BISOPROLOL,ATENOLOL,NEBIVOLOL,STEP1,,,,,
CardioPharm10,BETA BLOCKERS (NONSELECTIVE),CARVEDILOL,PROPRANOLOL,NADOLOL,LABETALOL,STEP1,,,,,
CardioPharm11,ALPHA-1 BLOCKERS,PRAZOSIN,DOXAZOSIN,TERAZOSIN,TAMSULOSIN,STEP1,,,,,
CardioPharm12,CENTRAL ALPHA-2 AGONISTS,CLONIDINE,METHYLDOPA,GUANFACINE,DEXMEDETOMIDINE,STEP1,,,,,
CardioPharm13,DIRECT VASODILATORS ,HYDRALAZINE,MINOXIDIL,NITROPRUSSIDE,NICARDIPINE,STEP1,,,,,
CardioPharm14,NITRATES (ANTIANGINAL),NITROGLYCERIN,ISOSORBIDE DINITRATE,ISOSORBIDE MONONITRATE,NITROPRUSSIDE,STEP1,,,,,
CardioPharm16,STATINS (HMG-COA REDUCTASE INHIBITORS),ATORVASTATIN,ROSUVASTATIN,SIMVASTATIN,PRAVASTATIN,STEP1,,,,,
CardioPharm17,NON-STATIN LIPID LOWERING MEDS,EZETIMIBE,ALIROCUMAB,EVOLOCUMAB,BEMPEDOIC ACID,STEP1,,,,,
CardioPharm18,FIBRATES & OMEGA-3S (HYPERTRIGLYCERIDEMIA),FENOFIBRATE,GEMFIBROZIL,ICOSAPENT ETHYL,OMEGA-3 FATTY ACIDS,STEP1,,,,,
CardioPharm19,ANTIPLATELETS (P2Y12 INHIBITORS),CLOPIDOGREL,PRASUGREL,TICAGRELOR,CANGRELOR,STEP1,,,,,
CardioPharm21,ANTICOAGULANTS (DOACS),APIXABAN,RIVAROXABAN,EDOXABAN,DABIGATRAN,STEP1,,,,,
CardioPharm24,THROMBOLYTICS (SYSTEMIC),ALTEPLASE,TENECTEPLASE,RETEPLASE,STREPTOKINASE,STEP1,,,,,
CardioPharm25,ANTIARRHYTHMICS - NA CHANNEL BLOCKERS,FLECAINIDE,PROPAFENONE,LIDOCAINE,QUINIDINE,STEP1,,,,,
CardioPharm26,ANTIARRHYTHMICS - BETA BLOCKERS,METOPROLOL,ESMOLOL,PROPRANOLOL,CARVEDILOL,STEP1,,,,,
CardioPharm27,ANTIARRHYTHMICS - K CHANNEL BLOCKERS,AMIODARONE,SOTALOL,DOFETILIDE,IBUTILIDE,STEP1,,,,,
CardioPharm28,ANTIARRHYTHMICS - CA CHANNEL BLOCKERS,DILTIAZEM,VERAPAMIL,METOPROLOL,AMIODARONE,STEP1,,,,,
CardioPharm33,SGLT2 INHIBITORS,EMPAGLIFLOZIN,DAPAGLIFLOZIN,CANAGLIFLOZIN,ERTUGLIFLOZIN,STEP1,,,,,
CardioPharm34,IV VASOPRESSORS,NOREPINEPHRINE,EPINEPHRINE,VASOPRESSIN,PHENYLEPHRINE,STEP1,,,,,
CardioPharm35,VASCULAR DILATORS (ICU BP CONTROL),NICARDIPINE,CLEVIDIPINE,NITROPRUSSIDE,NITROGLYCERIN,STEP1,,,,,
