date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
DermPharm1,TOPICAL CORTICOSTEROIDS ,HYDROCORTISONE,TRIAMCINOLONE,BETAMETHASONE DIPROPIONATE,CLOBETASOL,STEP1,,,,,
DermPharm2,TOPICAL CALCINEURIN INHIBITORS,TACROLIMUS (TOPICAL),PIMECROLIMUS,HYDROCORTISONE,CRISABOROLE,STEP1,,,,,
DermPharm3,TOPICAL PDE-4 / JAK INHIBITORS (DERM),CRISABOROLE,RUXOLITINIB (TOPICAL),TACROLIMUS (TOPICAL),DUPILUMAB,STEP1,,,,,
DermPharm4,ATOPIC DERMATITIS BIOLOGICS,DUPILUMAB,TRALOKINUMAB,UPADACITINIB,ABROCITINIB,STEP1,,,,,
DermPharm5,SYSTEMIC CORTICOSTEROIDS,PREDNISONE,METHYLPREDNISOLONE,DEXAMETHASONE,TRIAMCINOLONE (IM),STEP1,,,,,
DermPharm14,PSORIASIS: TNF INHIBITORS,ADALIMUMAB,INFLIXIMAB,ETANERCEPT,CERTOLIZUMAB,STEP1,,,,,
DermPharm19,URTICARIA: ANTIHISTAMINES,CETIRIZINE,FEXOFENADINE,LORATADINE,DIPHENHYDRAMINE,STEP1,,,,,
DermPharm22,SCABIES/PEDICULOSIS,PERMETHRIN,IVERMECTIN (ORAL),SPINOSAD,MALATHION,STEP1,,,,,
DermPharm23,TINEA: TOPICAL ANTIFUNGALS,TERBINAFINE (TOPICAL),CLOTRIMAZOLE,KETOCONAZOLE (TOPICAL),NAFTIFINE,STEP1,,,,,
DermPharm24,TINEA: SYSTEMIC ANTIFUNGALS,TERBINAFINE (ORAL),ITRACONAZOLE,FLUCONAZOLE,GRISEOFULVIN,STEP1,,,,,
DermPharm39,TOPICAL ANTIBIOTICS,MUPIROCIN,CLINDAMYCIN (TOPICAL),ERYTHROMYCIN (TOPICAL),BACITRACIN,STEP1,,,,,
DermPharm40,TOPICAL ANTIVIRALS/IMMUNOMODULATORS,IMIQUIMOD,PODOFILOX,ACYCLOVIR (TOPICAL),DOCOSANOL (TOPICAL),STEP1,,,,,
