date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
EmToxPharm3,BENZODIAZEPINES (GABA-A POSITIVE MODULATORS),LORAZEPAM,MIDAZOLAM,DIAZEPAM,CLONAZEPAM,STEP1,,,,,
EmToxPharm5,NEUROMUSCULAR BLOCKERS (NICOTINIC AChR MODULATORS),SUCCINYLCHOLINE,ROCURONIUM,VECURONIUM,CISATRACURIUM,STEP1,,,,,
EmToxPharm6,ALPHA-2 ADRENERGIC AGONISTS (CENTRAL SYMPATHOLYTICS),DEXMEDETOMIDINE,CLONIDINE,GUANFACINE,TIZANIDINE,STEP1,,,,,
EmToxPharm7,OPIOID ANALGESICS (MU RECEPTOR AGONISTS),FENTANYL,MORPHINE,HYDROMORPHONE,OXYCODONE,STEP1,,,,,
EmToxPharm8,H1 ANTIHISTAMINES (H1 INVERSE AGONISTS),DIPHENHYDRAMINE,CETIRIZINE,LORATADINE,FEXOFENADINE,STEP1,,,,,
EmToxPharm9,BETA-2 ADRENERGIC AGONISTS (BRONCHODILATORS),ALBUTEROL,LEVALBUTEROL,TERBUTALINE,SALMETEROL,STEP1,,,,,
EmToxPharm10,ANTIMUSCARINIC BRONCHODILATORS (M3 ANTAGONISTS),IPRATROPIUM,TIOTROPIUM,UMECLIDINIUM,GLYCOPYRROLATE (INHALED),STEP1,,,,,
EmToxPharm12,LOOP DIURETICS (NKCC2 INHIBITORS),FUROSEMIDE,BUMETANIDE,TORSEMIDE,ETHACRYNIC ACID,STEP1,,,,,
EmToxPharm13,DIHYDROPYRIDINE CALCIUM CHANNEL BLOCKERS (L-TYPE),NICARDIPINE,CLEVIDIPINE,AMLODIPINE,NIFEDIPINE,STEP1,,,,,
EmToxPharm14,ADRENERGIC VASOPRESSORS (ALPHA-1 PREDOMINANT),NOREPINEPHRINE,PHENYLEPHRINE,EPINEPHRINE,DOPAMINE,STEP1,,,,,
EmToxPharm15,SYSTEMIC GLUCOCORTICOIDS (NUCLEAR RECEPTOR AGONISTS),HYDROCORTISONE,METHYLPREDNISOLONE,DEXAMETHASONE,PREDNISONE,STEP1,,,,,
EmToxPharm17,D2 RECEPTOR ANTAGONISTS (ANTIPSYCHOTICS/ANTIEMETICS),HALOPERIDOL,DROPERIDOL,PROCHLORPERAZINE,METOCLOPRAMIDE,STEP1,,,,,
EmToxPharm18,BARBITURATES (GABA-A AGONISTS),PHENOBARBITAL,PENTOBARBITAL,THIOPENTAL,PRIMIDONE,STEP1,,,,,
EmToxPharm19,OPIOID ANTAGONISTS / PARTIAL AGONISTS,NALOXONE,NALTREXONE,NALMEFENE,BUPRENORPHINE,STEP1,,,,,
EmToxPharm20,REVERSAL AGENTS (PHARMACOLOGIC ANTAGONISTS),FLUMAZENIL,NALOXONE,PROTAMINE,VITAMIN K,STEP1,,,,,
EmToxPharm26,BETA-ADRENERGIC ANTAGONISTS (BETA BLOCKERS),PROPRANOLOL,METOPROLOL,ATENOLOL,LABETALOL,STEP1,,,,,
EmToxPharm27,CALCIUM CHANNEL BLOCKERS (DHP & NON-DHP),VERAPAMIL,DILTIAZEM,AMLODIPINE,NIFEDIPINE,STEP1,,,,,
EmToxPharm28,TRICYCLIC ANTIDEPRESSANTS,AMITRIPTYLINE,IMIPRAMINE,NORTRIPTYLINE,DESIPRAMINE,STEP1,,,,,
EmToxPharm29,ACETYLCHOLINESTERASE INHIBITORS,PHYSOSTIGMINE,NEOSTIGMINE,PYRIDOSTIGMINE,DONEPEZIL,STEP1,,,,,
EmToxPharm31,SEROTONIN RECEPTOR ANTAGONISTS (5-HT BLOCKERS),CYPROHEPTADINE,ONDANSETRON,MIRTAZAPINE,TRAZODONE,STEP1,,,,,
EmToxPharm32,DOPAMINE AGONISTS (D2 AGONISTS),BROMOCRIPTINE,PRAMIPEXOLE,ROPINIROLE,APOMORPHINE,STEP1,,,,,
EmToxPharm33,SKELETAL MUSCLE RELAXANTS (SPASMOLYTICS),DANTROLENE,BACLOFEN,TIZANIDINE,CYCLOBENZAPRINE,STEP1,,,,,
EmToxPharm34,LOCAL ANESTHETICS (VOLTAGE-GATED Na+ CHANNEL BLOCKERS),LIDOCAINE,BUPIVACAINE,ROPIVACAINE,MEPIVACAINE,STEP1,,,,,
EmToxPharm37,DIRECT FACTOR Xa INHIBITORS,APIXABAN,RIVAROXABAN,EDOXABAN,BETRIXABAN,STEP1,,,,,
EmToxPharm39,5-HT3 RECEPTOR ANTAGONISTS (ANTIEMETICS),ONDANSETRON,GRANISETRON,PALONOSETRON,DOLASETRON,STEP1,,,,,
EmToxPharm40,NK1 RECEPTOR ANTAGONISTS (ANTIEMETICS),APREPITANT,FOSAPREPITANT,NETUPITANT,ROLAPITANT,STEP1,,,,,
EmToxPharm41,ANTIDIARRHEALS (PERIPHERAL MU AGONISTS / ANTISECRETORY),LOPERAMIDE,DIPHENOXYLATE-ATROPINE,BISMUTH SUBSALICYLATE,ELUXADOLINE,STEP1,,,,,
EmToxPharm42,NMDA RECEPTOR ANTAGONISTS,KETAMINE,DEXTROMETHORPHAN,MEMANTINE,AMANTADINE,STEP1,,,,,
EmToxPharm43,NSAIDS (COX INHIBITORS),KETOROLAC,IBUPROFEN,NAPROXEN,INDOMETHACIN,STEP1,,,,,
EmToxPharm45,GI DECONTAMINATION AGENTS (ADSORBENT/OSMOTIC/RESIN),ACTIVATED CHARCOAL,POLYETHYLENE GLYCOL-ELECTROLYTE SOLUTION,CHOLESTYRAMINE,SODIUM POLYSTYRENE SULFONATE,STEP1,,,,,
