date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
EndoPharm1,INSULINS,LISPRO,ASPART,GLARGINE,NPH,STEP1,,,,,
EndoPharm6,SGLT2 INHIBITORS (PROXIMAL TUBULE),EMPAGLIFLOZIN,DAPAGLIFLOZIN,CANAGLIFLOZIN,ERTUGLIFLOZIN,STEP1,,,,,
EndoPharm7,GLP-1 RECEPTOR AGONISTS,SEMAGLUTIDE,LIRAGLUTIDE,DULAGLUTIDE,EXENATIDE,STEP1,,,,,
EndoPharm8,DPP-4 INHIBITORS,SITAGLIPTIN,LINAGLIPTIN,SAXAGLIPTIN,ALOGLIPTIN,STEP1,,,,,
EndoPharm9,INSULIN SECRETAGOGUES (SULFONYLUREAS),GLIPIZIDE,GLYBURIDE,GLIMEPIRIDE,TOLBUTAMIDE,STEP1,,,,,
EndoPharm10,INSULIN SECRETAGOGUES (MEGLITINIDES/GLINIDES),REPAGLINIDE,NATEGLINIDE,MITIGLINIDE,TOLAZAMIDE,STEP1,,,,,
EndoPharm11,THIAZOLIDINEDIONES,PIOGLITAZONE,ROSIGLITAZONE,TROGLITAZONE,CIGLITAZONE,STEP1,,,,,
EndoPharm12,ALPHA-GLUCOSIDASE INHIBITORS,ACARBOSE,MIGLITOL,VOGLIBOSE,EMIGLITATE,STEP1,,,,,
EndoPharm14,BILE ACID SEQUESTRANTS (LDL/GLUCOSE ADJUNCTS),COLESEVELAM,CHOLESTYRAMINE,COLESTIPOL,COLESTILAN,STEP1,,,,,
EndoPharm17,THIONAMIDES (THYROID PEROXIDASE INHIBITORS),METHIMAZOLE,PROPYLTHIOURACIL,CARBIMAZOLE,BENZYLTHIOURACIL,STEP1,,,,,
EndoPharm24,MINERALOCORTICOID RECEPTOR ANTAGONISTS (MRAs),SPIRONOLACTONE,EPLERENONE,FINERENONE,CANRENONE,STEP1,,,,,
EndoPharm25,ALPHA-ADRENERGIC ANTAGONISTS (SYSTEMIC),PHENOXYBENZAMINE,DOXAZOSIN,PRAZOSIN,TERAZOSIN,STEP1,,,,,
EndoPharm26,VASOPRESSIN ANALOGS / V2 AGONISTS,DESMOPRESSIN,VASOPRESSIN,LYPRESSIN,TERLIPRESSIN,STEP1,,,,,
EndoPharm28,THIAZIDE(-LIKE) DIURETICS,HYDROCHLOROTHIAZIDE,CHLORTHALIDONE,INDAPAMIDE,METOLAZONE,STEP1,,,,,
EndoPharm32,DOPAMINE AGONISTS (PITUITARY),CABERGOLINE,BROMOCRIPTINE,QUINAGOLIDE,PERGOLIDE,STEP1,,,,,
EndoPharm33,BISPHOSPHONATES (BONE RESORPTION INHIBITORS),ALENDRONATE,RISEDRONATE,IBANDRONATE,ZOLEDRONIC ACID,STEP1,,,,,
EndoPharm35,OSTEOCLAST INHIBITORS FOR HYPERCALCEMIA,CALCITONIN,PAMIDRONATE,ZOLEDRONIC ACID,DENOSUMAB,STEP1,,,,,
EndoPharm40,TRIGLYCERIDE LOWERING,FENOFIBRATE,GEMFIBROZIL,ICOSAPENT ETHYL,OMEGA-3 ACID,STEP1,,,,,
EndoPharm43,BETA BLOCKERS,PROPRANOLOL,METOPROLOL,ATENOLOL,ESMOLOL,STEP1,,,,,
EndoPharm44,CARDIO-RENAL PROTECTIVE METABOLIC THERAPIES,EMPAGLIFLOZIN,DAPAGLIFLOZIN,SEMAGLUTIDE,LIRAGLUTIDE,STEP1,,,,,
