date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
HemePharm1,HEPARIN AND HEPARINOIDS,HEPARIN,ENOXAPARIN,FONDAPARINUX,DALTEPARIN,STEP1,,,,,
HemePharm5,DIRECT THROMBIN INHIBITORS,DABIGATRAN,ARGATROBAN,BIVALIRUDIN,DESIRUDIN,STEP1,,,,,
HemePharm7,DIRECT FACTOR Xa INHIBITORS (DOACs),APIXABAN,RIVAROXABAN,EDOXABAN,BETRIXABAN,STEP1,,,,,
HemePharm8,P2Y12 (ADP) RECEPTOR ANTAGONISTS,CLOPIDOGREL,PRASUGREL,TICAGRELOR,CANGRELOR,STEP1,,,,,
HemePharm9,COX-1 / PDE / ADENOSINE UPTAKE INHIBITORS,ASPIRIN,DIPYRIDAMOLE,CILOSTAZOL,TRIFLUSAL,STEP1,,,,,
HemePharm10,GP IIb/IIIa ANTAGONISTS,ABCIXIMAB,EPTIFIBATIDE,TIROFIBAN,LAMIFIBAN,STEP1,,,,,
HemePharm11,THROMBOLYTICS (PLASMINOGEN ACTIVATORS),ALTEPLASE,TENECTEPLASE,RETEPLASE,UROKINASE,STEP1,,,,,
HemePharm12,ANTIFIBRINOLYTICS,TRANEXAMIC ACID,AMINOCAPROIC ACID,APROTININ,P-AMINOMETHYLBENZOIC ACID,STEP1,,,,,
HemePharm26,SICKLE CELL DISEASE–MODIFYING AGENTS,HYDROXYUREA,L-GLUTAMINE,VOXELOTOR,CRIZANLIZUMAB,STEP1,,,,,
HemePharm27,ANALGESICS FOR ACUTE PAIN (OPIOID/NSAID),MORPHINE,HYDROMORPHONE,FENTANYL,KETOROLAC,STEP1,,,,,
HemePharm29,ORAL IRON SALTS,FERROUS SULFATE,FERROUS FUMARATE,FERROUS GLUCONATE,POLYSACCHARIDE IRON COMPLEX,STEP1,,,,,
HemePharm31,HEMATINICS (B12 / FOLATE),FOLIC ACID,LEUCOVORIN,CYANOCOBALAMIN,HYDROXOCOBALAMIN,STEP1,,,,,
HemePharm32,IMMUNOSUPPRESSANTS FOR AUTOIMMUNE CYTOPENIAS,PREDNISONE,RITUXIMAB,AZATHIOPRINE,CYCLOPHOSPHAMIDE,STEP1,,,,,
HemePharm33,COMPLEMENT PATHWAY INHIBITORS,ECULIZUMAB,RAVULIZUMAB,PEGCETACOPLAN,SUTIMLIMAB,STEP1,,,,,
HemePharm35,APL DIFFERENTIATION/CHEMOTHERAPY AGENTS,TRETINOIN (ATRA),ARSENIC TRIOXIDE,IDARUBICIN,CYTARABINE,STEP1,,,,,
HemePharm36,METAL CHELATORS (IRON/COPPER),DEFEROXAMINE,DEFERASIROX,DEFERIPRONE,TRIENTINE,STEP1,,,,,
HemePharm37,CYTOREDUCTIVE MPN THERAPIES,HYDROXYUREA,RUXOLITINIB,PEGINTERFERON ALFA-2A,BUSULFAN,STEP1,,,,,
HemePharm39,PARENTERAL ANTICOAGULANTS (PROCEDURAL/INPATIENT),HEPARIN,ENOXAPARIN,FONDAPARINUX,BIVALIRUDIN,STEP1,,,,,
HemePharm40,ORAL ANTICOAGULANTS (DOACs/VKA),APIXABAN,RIVAROXABAN,DABIGATRAN,WARFARIN,STEP1,,,,,
HemePharm41,HEMOSTATIC ADJUNCTS (ANTIPLATELET-ASSOCIATED BLEEDING),DESMOPRESSIN,TRANEXAMIC ACID,PLATELETS,4-FACTOR PCC,STEP1,,,,,
