date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
ImmunoPharm1,SYSTEMIC GLUCOCORTICOIDS,PREDNISONE,METHYLPREDNISOLONE,DEXAMETHASONE,HYDROCORTISONE,STEP1,,,,,
ImmunoPharm2,CALCINEURIN INHIBITORS,TACROLIMUS,CYCLOSPORINE,VOCLOSPORIN,PIMECROLIMUS,STEP1,,,,,
ImmunoPharm3,ANTIMETABOLITES (PURINE/FOLATE PATHWAYS),MYCOPHENOLATE MOFETIL,AZATHIOPRINE,6-MERCAPTOPURINE,METHOTREXATE,STEP1,,,,,
ImmunoPharm4,ALKYLATING IMMUNOSUPPRESSANTS,CYCLOPHOSPHAMIDE,CHLORAMBUCIL,MELPHALAN,BUSULFAN,STEP1,,,,,
ImmunoPharm5,mTOR INHIBITORS (mTORC1),SIROLIMUS,EVEROLIMUS,TEMSIROLIMUS,RIDAFOROLIMUS,STEP1,,,,,
ImmunoPharm7,ANTI-CD20 B-CELL DEPLETION,RITUXIMAB,OBINUTUZUMAB,OFATUMUMAB,OCRELIZUMAB,STEP1,,,,,
ImmunoPharm8,COMPLEMENT INHIBITORS,ECULIZUMAB,RAVULIZUMAB,SUTIMLIMAB,PEGCETACOPLAN,STEP1,,,,,
ImmunoPharm9,ANTI-TNF BIOLOGICS,ADALIMUMAB,INFLIXIMAB,ETANERCEPT,CERTOLIZUMAB,STEP1,,,,,
ImmunoPharm10,IL-6 PATHWAY INHIBITORS,TOCILIZUMAB,SARILUMAB,SILTUXIMAB,SATRALIZUMAB,STEP1,,,,,
ImmunoPharm11,IL-1 PATHWAY INHIBITORS,ANAKINRA,CANAKINUMAB,RILONACEPT,GEVOKIZUMAB,STEP1,,,,,
ImmunoPharm12,IL-17 PATHWAY INHIBITORS,SECUKINUMAB,IXEKIZUMAB,BRODALUMAB,BIMEKIZUMAB,STEP1,,,,,
ImmunoPharm13,IL-23 / IL-12-23 INHIBITORS,GUSELKUMAB,RISANKIZUMAB,TILDRAKIZUMAB,USTEKINUMAB,STEP1,,,,,
ImmunoPharm14,INTEGRIN ANTAGONISTS,VEDOLIZUMAB,NATALIZUMAB,ETROLIZUMAB,ABRILUMAB,STEP1,,,,,
ImmunoPharm17,JAK INHIBITORS,TOFACITINIB,BARICITINIB,UPADACITINIB,RUXOLITINIB,STEP1,,,,,
ImmunoPharm18,PDE-4 INHIBITORS,APREMILAST,ROFLUMILAST,CRISABOROLE,IBUDILAST,STEP1,,,,,
ImmunoPharm19,SPHINGOSINE-1-PHOSPHATE (S1P) RECEPTOR MODULATORS,FINGOLIMOD,SIPONIMOD,OZANIMOD,PONESIMOD,STEP1,,,,,
ImmunoPharm20,BTK INHIBITORS,IBRUTINIB,ACALABRUTINIB,ZANUBRUTINIB,PIRTOBRUTINIB,STEP1,,,,,
ImmunoPharm21,IMMUNE CHECKPOINT INHIBITORS (PD-1/PD-L1/CTLA-4),PEMBROLIZUMAB,NIVOLUMAB,ATEZOLIZUMAB,IPILIMUMAB,STEP1,,,,,
ImmunoPharm29,T-CELL DIRECTED / DEPLETING ANTIBODIES,ALEMTUZUMAB,ANTITHYMOCYTE GLOBULIN,MUROMONAB-CD3,ALEFACEPT,STEP1,,,,,
