date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
IDPharm2,ANTI-HERPESVIRUS DNA POLYMERASE INHIBITORS (HSV/VZV),ACYCLOVIR,VALACYCLOVIR,FAMCICLOVIR,PENCICLOVIR,STEP1,,,,,
IDPharm3,ANTI-CMV DNA POLYMERASE INHIBITORS,GANCICLOVIR,VALGANCICLOVIR,FOSCARNET,CIDOFOVIR,STEP1,,,,,
IDPharm6,HIV INTEGRASE STRAND TRANSFER INHIBITORS (INSTIs),DOLUTEGRAVIR,BICTEGRAVIR,RALTEGRAVIR,ELVITEGRAVIR,STEP1,,,,,
IDPharm7,HIV PROTEASE INHIBITORS (PIs),DARUNAVIR,ATAZANAVIR,LOPINAVIR,SAQUINAVIR,STEP1,,,,,
IDPharm8,HIV NNRTIs,EFAVIRENZ,RILPIVIRINE,DORAVIRINE,ETRAVIRINE,STEP1,,,,,
IDPharm9,HIV ENTRY/FUSION/ATTACHMENT INHIBITORS,MARAVIROC,ENFUVIRTIDE,FOSTEMSAVIR,IBALIZUMAB,STEP1,,,,,
IDPharm12,HBV NUCLEOS(T)IDE ANALOGS,ENTECAVIR,TENOFOVIR DISOPROXIL,TENOFOVIR ALAFENAMIDE,LAMIVUDINE,STEP1,,,,,
IDPharm13,HCV DIRECT-ACTING ANTIVIRALS (NS5B/NS5A/PI),SOFOSBUVIR,LEDIPASVIR,VELPATASVIR,GLECAPREVIR,STEP1,,,,,
IDPharm15,MYCOBACTERIAL FIRST-LINE AGENTS (RIPE),ISONIAZID,RIFAMPIN,PYRAZINAMIDE,ETHAMBUTOL,STEP1,,,,,
IDPharm16,LATENT TB REGIMEN COMPONENTS,ISONIAZID,RIFAMPIN,RIFAPENTINE,PYRIDOXINE,STEP1,,,,,
IDPharm18,NEWER TB AGENTS,BEDAQUILINE,DELAMANID,PRETOMANID,CLOFAZIMINE,STEP1,,,,,
IDPharm21,AZOLE ANTIFUNGALS (ERGOSTEROL SYNTHESIS INHIBITORS),FLUCONAZOLE,ITRACONAZOLE,VORICONAZOLE,POSACONAZOLE,STEP1,,,,,
IDPharm22,"ECHINOCANDINS (BETA-1,3-GLUCAN SYNTHESIS INHIBITORS)",MICAFUNGIN,CASPOFUNGIN,ANIDULAFUNGIN,REZAFUNGIN,STEP1,,,,,
IDPharm23,POLYENE ANTIFUNGALS (ERGOSTEROL BINDERS),AMPHOTERICIN B,LIPOSOMAL AMPHOTERICIN B,NYSTATIN,NATAMYCIN,STEP1,,,,,
IDPharm25,ANTIMALARIALS (ARTEMISININ/HEME PATHWAY),ARTEMETHER-LUMEFANTRINE,ATOVAQUONE-PROGUANIL,CHLOROQUINE,MEFLOQUINE,STEP1,,,,,
IDPharm26,NITROIMIDAZOLES / ANTIPROTOZOALS,METRONIDAZOLE,TINIDAZOLE,SECNIDAZOLE,NITAZOXANIDE,STEP1,,,,,
IDPharm27,BENZIMIDAZOLE ANTHELMINTICS,ALBENDAZOLE,MEBENDAZOLE,THIABENDAZOLE,TRICLABENDAZOLE,STEP1,,,,,
IDPharm28,ANTHELMINTICS,IVERMECTIN,PRAZIQUANTEL,PYRANTEL PAMOATE,DIETHYLCARBAMAZINE,STEP1,,,,,
IDPharm29,PENICILLINS (BETA-LACTAMS),PENICILLIN G,AMOXICILLIN,AMPICILLIN,PIPERACILLIN-TAZOBACTAM,STEP1,,,,,
IDPharm30,CEPHALOSPORINS (BETA-LACTAMS),CEFTRIAXONE,CEFTAZIDIME,CEFEPIME,CEFAZOLIN,STEP1,,,,,
IDPharm31,CARBAPENEMS (BETA-LACTAMS),MEROPENEM,IMIPENEM-CILASTATIN,ERTAPENEM,DORIPENEM,STEP1,,,,,
IDPharm32,MONOBACTAMS (BETA-LACTAMS),AZTREONAM,TIGEMONAM,CARUMONAM,AZTREONAM-LYSINE,STEP1,,,,,
IDPharm33,GLYCOPEPTIDES / LIPOGLYCOPEPTIDES,VANCOMYCIN,TEICOPLANIN,DALBAVANCIN,ORITAVANCIN,STEP1,,,,,
IDPharm35,OXAZOLIDINONES (50S INHIBITORS),LINEZOLID,TEDIZOLID,SUTEZOLID,CONTEZOLID,STEP1,,,,,
IDPharm36,MACROLIDES (50S INHIBITORS),AZITHROMYCIN,CLARITHROMYCIN,ERYTHROMYCIN,ROXITHROMYCIN,STEP1,,,,,
IDPharm37,TETRACYCLINES / GLYCYLCYCLINES (30S INHIBITORS),DOXYCYCLINE,MINOCYCLINE,TETRACYCLINE,TIGECYCLINE,STEP1,,,,,
IDPharm38,FLUOROQUINOLONES (DNA GYRASE INHIBITORS),CIPROFLOXACIN,LEVOFLOXACIN,MOXIFLOXACIN,DELAFLOXACIN,STEP1,,,,,
IDPharm39,AMINOGLYCOSIDES (30S BACTERICIDAL),GENTAMICIN,TOBRAMYCIN,AMIKACIN,STREPTOMYCIN,STEP1,,,,,
IDPharm40,LINCOSAMIDES / STREPTOGRAMINS (50S),CLINDAMYCIN,LINCOMYCIN,QUINUPRISTIN-DALFOPRISTIN,PRISTINAMYCIN,STEP1,,,,,
IDPharm42,POLYMYXINS (OUTER MEMBRANE DISRUPTORS),COLISTIN,POLYMYXIN B,COLISTIMETHATE,POLYMYXIN E,STEP1,,,,,
