date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
OncPharm1,ALKYLATING AGENTS (DNA CROSSLINKERS),CYCLOPHOSPHAMIDE,IFOSFAMIDE,MELPHALAN,BUSULFAN,STEP1,,,,,
OncPharm2,PLATINUM COMPOUNDS (ONCOLOGY),CISPLATIN,CARBOPLATIN,OXALIPLATIN,NEDAPLATIN,STEP1,,,,,
OncPharm3,ANTIMETABOLITES: FOLATE PATHWAY,METHOTREXATE,PEMETREXED,PRALATREXATE,RALTITREXED,STEP1,,,,,
OncPharm4,ANTIMETABOLITES: PYRIMIDINE ANALOGS,5-FLUOROURACIL,CAPECITABINE,CYTARABINE,GEMCITABINE,STEP1,,,,,
OncPharm5,ANTIMETABOLITES: PURINE ANALOGS,6-MERCAPTOPURINE,6-THIOGUANINE,FLUDARABINE,CLOFARABINE,STEP1,,,,,
OncPharm6,TOPOISOMERASE I INHIBITORS,IRINOTECAN,TOPOTECAN,LURTOTECAN,EXATECAN,STEP1,,,,,
OncPharm7,TOPOISOMERASE II INHIBITORS,ETOPOSIDE,TENIPOSIDE,DOXORUBICIN,DAUNORUBICIN,STEP1,,,,,
OncPharm9,MICROTUBULE INHIBITORS: VINCAS,VINCRISTINE,VINBLASTINE,VINORELBINE,VINDESINE,STEP1,,,,,
OncPharm10,MICROTUBULE STABILIZERS: TAXANES,PACLITAXEL,DOCETAXEL,CABAZITAXEL,NAB-PACLITAXEL,STEP1,,,,,
OncPharm11,PROTEASOME INHIBITORS,BORTEZOMIB,CARFILZOMIB,IXAZOMIB,MARIZOMIB,STEP1,,,,,
OncPharm12,IMiDs (CEREBLON MODULATORS),THALIDOMIDE,LENALIDOMIDE,POMALIDOMIDE,IBERDOMIDE,STEP1,,,,,
OncPharm13,BTK INHIBITORS,IBRUTINIB,ACALABRUTINIB,ZANUBRUTINIB,PIBRUTINIB,STEP1,,,,,
OncPharm17,TYROSINE KINASE INHIBITORS: BCR-ABL,IMATINIB,DASATINIB,NILOTINIB,PONATINIB,STEP1,,,,,
OncPharm18,TYROSINE KINASE INHIBITORS: EGFR,ERLOTINIB,GEFITINIB,AFATINIB,OSIMERTINIB,STEP1,,,,,
OncPharm19,TYROSINE KINASE INHIBITORS: ALK/ROS1,ALECTINIB,CRIZOTINIB,CERITINIB,LORLATINIB,STEP1,,,,,
OncPharm20,TYROSINE KINASE INHIBITORS: VEGFR/MULTIKINASE,SUNITINIB,SORAFENIB,PAZOPANIB,AXITINIB,STEP1,,,,,
OncPharm21,mTOR INHIBITORS,EVEROLIMUS,TEMSIROLIMUS,SIROLIMUS,RIDAFOROLIMUS,STEP1,,,,,
OncPharm22,PI3K INHIBITORS,IDELALISIB,COPANLISIB,DUVELISIB,ALPELISIB,STEP1,,,,,
OncPharm23,MEK INHIBITORS,TRAMETINIB,COBIMETINIB,BINIMETINIB,SELUMETINIB,STEP1,,,,,
OncPharm24,BRAF INHIBITORS,VEMURAFENIB,DABRAFENIB,ENCORAFENIB,SORAFENIB,STEP1,,,,,
OncPharm26,HORMONAL THERAPY: SERMs/SERDs,TAMOXIFEN,FULVESTRANT,RALOXIFENE,ELACESTRANT,STEP1,,,,,
OncPharm27,HORMONAL THERAPY: AROMATASE INHIBITORS,LETROZOLE,ANASTROZOLE,EXEMESTANE,FORMESTANE,STEP1,,,,,
OncPharm28,ANDROGEN PATHWAY INHIBITORS,BICALUTAMIDE,ENZALUTAMIDE,APALUTAMIDE,ABIRATERONE,STEP1,,,,,
OncPharm29,GNRH AGONISTS/ANTAGONISTS,LEUPROLIDE,GOSERELIN,DEGARELIX,RELUGOLIX,STEP1,,,,,
OncPharm30,IMMUNE CHECKPOINT INHIBITORS: PD-1/PD-L1,PEMBROLIZUMAB,NIVOLUMAB,ATEZOLIZUMAB,DURVALUMAB,STEP1,,,,,
OncPharm31,IMMUNE CHECKPOINT INHIBITORS (CTLA-4/LAG-3/TIM-3),IPILIMUMAB,TREMELIMUMAB,RELATLIMAB,SABATOLIMAB,STEP1,,,,,
OncPharm33,ANTI-CD20 MONOCLONAL ANTIBODIES,RITUXIMAB,OBINUTUZUMAB,OFATUMUMAB,RITUXIMAB-ABBS,STEP1,,,,,
OncPharm35,ANTI-HER2 AGENTS,TRASTUZUMAB,PERTUZUMAB,LAPATINIB,NERATINIB,STEP1,,,,,
OncPharm36,ANTI-VEGF / ANGIOGENESIS INHIBITORS,BEVACIZUMAB,RAMUCIRUMAB,AFLIBERCEPT,THALIDOMIDE,STEP1,,,,,
OncPharm37,ANTIEMETICS: 5-HT3 ANTAGONISTS,ONDANSETRON,GRANISETRON,PALONOSETRON,DOLASETRON,STEP1,,,,,
OncPharm38,ANTIEMETICS: NK1 ANTAGONISTS,APREPITANT,FOSAPREPITANT,ROLAPITANT,NETUPITANT,STEP1,,,,,
OncPharm40,MYELOID GROWTH FACTORS (G-CSF),FILGRASTIM,PEGFILGRASTIM,LENOGRASTIM,TBO-FILGRASTIM,STEP1,,,,,
OncPharm42,BONE TARGETED THERAPY,ZOLEDRONIC ACID,PAMIDRONATE,DENOSUMAB,IBANDRONATE,STEP1,,,,,
OncPharm44,NEUROPATHIC PAIN ADJUNCTS,GABAPENTIN,PREGABALIN,DULOXETINE,AMITRIPTYLINE,STEP1,,,,,
OncPharm45,EPIGENETIC MODIFIERS (DNMT/HDAC),AZACITIDINE,DECITABINE,VORINOSTAT,ROMIDEPSIN,STEP1,,,,,
