date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
PedsPharm1,PENICILLINS (BETA-LACTAMS),AMOXICILLIN,AMPICILLIN,PIPERACILLIN-TAZOBACTAM,NAFCILLIN,STEP1,,,,,
PedsPharm2,CEPHALOSPORINS (BETA-LACTAMS),CEFAZOLIN,CEFTRIAXONE,CEFEPIME,CEFIXIME,STEP1,,,,,
PedsPharm3,MACROLIDES (50S INHIBITORS),AZITHROMYCIN,CLARITHROMYCIN,ERYTHROMYCIN,ROXITHROMYCIN,STEP1,,,,,
PedsPharm4,AMINOGLYCOSIDES (30S BACTERICIDAL),GENTAMICIN,TOBRAMYCIN,AMIKACIN,STREPTOMYCIN,STEP1,,,,,
PedsPharm5,GLYCOPEPTIDES / LIPOGLYCOPEPTIDES,VANCOMYCIN,DALBAVANCIN,ORITAVANCIN,TEICOPLANIN,STEP1,,,,,
PedsPharm6,CARBAPENEMS (BETA-LACTAMS),MEROPENEM,IMIPENEM-CILASTATIN,ERTAPENEM,DORIPENEM,STEP1,,,,,
PedsPharm8,ANTI-HERPESVIRUS DNA POLYMERASE INHIBITORS,ACYCLOVIR,VALACYCLOVIR,GANCICLOVIR,VALGANCICLOVIR,STEP1,,,,,
PedsPharm9,NEURAMINIDASE / CAP-ENDONUCLEASE INHIBITORS (FLU),OSELTAMIVIR,ZANAMIVIR,PERAMIVIR,BALOXAVIR MARBOXIL,STEP1,,,,,
PedsPharm10,BETA-2 AGONISTS (BRONCHODILATORS),ALBUTEROL,LEVALBUTEROL,TERBUTALINE,FORMOTEROL,STEP1,,,,,
PedsPharm11,MUSCARINIC ANTAGONISTS (BRONCHODILATORS),IPRATROPIUM,TIOTROPIUM,GLYCOPYRROLATE,ACLIDINIUM,STEP1,,,,,
PedsPharm12,INHALED CORTICOSTEROIDS (ICS),FLUTICASONE,BUDESONIDE,BECLOMETHASONE,MOMETASONE,STEP1,,,,,
PedsPharm13,SYSTEMIC GLUCOCORTICOIDS,PREDNISONE,PREDNISOLONE,DEXAMETHASONE,HYDROCORTISONE,STEP1,,,,,
PedsPharm14,LEUKOTRIENE RECEPTOR ANTAGONISTS / MODIFIERS,MONTELUKAST,ZAFIRLUKAST,ZILEUTON,PRANLUKAST,STEP1,,,,,
PedsPharm15,EPINEPHRINE & DIRECT-ACTING ADRENERGIC AGONISTS,EPINEPHRINE,NOREPINEPHRINE,PHENYLEPHRINE,DOPAMINE,STEP1,,,,,
PedsPharm16,H1 ANTIHISTAMINES (1ST/2ND GEN),DIPHENHYDRAMINE,CETIRIZINE,LORATADINE,FEXOFENADINE,STEP1,,,,,
PedsPharm17,H2 RECEPTOR ANTAGONISTS,FAMOTIDINE,CIMETIDINE,NIZATIDINE,RANITIDINE,STEP1,,,,,
PedsPharm18,5-HT3 RECEPTOR ANTAGONISTS (ANTIEMETICS),ONDANSETRON,GRANISETRON,PALONOSETRON,DOLASETRON,STEP1,,,,,
PedsPharm19,D2 RECEPTOR ANTAGONISTS (ANTIEMETICS),METOCLOPRAMIDE,PROCHLORPERAZINE,PROMETHAZINE,DROPERIDOL,STEP1,,,,,
PedsPharm20,ACETAMINOPHEN & NSAIDs (ANALGESIC/ANTIPYRETIC),ACETAMINOPHEN,IBUPROFEN,NAPROXEN,KETOROLAC,STEP1,,,,,
PedsPharm28,CENTRAL ALPHA-2 AGONISTS,CLONIDINE,GUANFACINE,DEXMEDETOMIDINE,TIZANIDINE,STEP1,,,,,
PedsPharm29,NEONATAL METHYLXANTHINES (RESP STIMULANTS),CAFFEINE CITRATE,THEOPHYLLINE,AMINOPHYLLINE,DYPROPHYLLINE,STEP1,,,,,
PedsPharm39,ADHD STIMULANTS (CATECHOLAMINE ENHANCERS),METHYLPHENIDATE,DEXMETHYLPHENIDATE,AMPHETAMINE,LISDEXAMFETAMINE,STEP1,,,,,
PedsPharm44,PEDIATRIC VACCINES (ACTIVE IMMUNIZATION EXAMPLES),DTaP,MMR,IPV,VARICELLA VACCINE,STEP1,,,,,
