date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
NeuroPharm1,SSRIs (SEROTONIN REUPTAKE INHIBITORS),SERTRALINE,FLUOXETINE,ESCITALOPRAM,PAROXETINE,STEP1,,,,,
NeuroPharm2,SNRIs (SEROTONIN-NOREPINEPHRINE REUPTAKE INHIBITORS),VENLAFAXINE,DESVENLAFAXINE,DULOXETINE,MILNACIPRAN,STEP1,,,,,
NeuroPharm2,TRICYCLIC ANTIDEPRESSANTS (TCAs),AMITRIPTYLINE,NORTRIPTYLINE,IMIPRAMINE,CLOMIPRAMINE,STEP1,,,,,
NeuroPharm2,ATYPICAL ANTIDEPRESSANTS,BUPROPION,MIRTAZAPINE,TRAZODONE,VORTIOXETINE,STEP1,,,,,
NeuroPharm5,MAO INHIBITORS,PHENELZINE,TRANYLCYPROMINE,ISOCARBOXAZID,SELEGILINE,STEP1,,,,,
NeuroPharm5,SEROTONIN MODULATORS (5-HT2/5-HT1),TRAZODONE,NEFAZODONE,VILAZODONE,VORTIOXETINE,STEP1,,,,,
NeuroPharm9,D2 ANTAGONISTS (TYPICAL ANTIPSYCHOTICS),HALOPERIDOL,CHLORPROMAZINE,FLUPHENAZINE,THIORIDAZINE,STEP1,,,,,
NeuroPharm11,D2/5-HT2 ANTAGONISTS (ATYPICAL ANTIPSYCHOTICS),RISPERIDONE,OLANZAPINE,QUETIAPINE,ZIPRASIDONE,STEP1,,,,,
NeuroPharm11,PARTIAL D2 AGONISTS (ATYPICAL),ARIPIPRAZOLE,BREXPIPRAZOLE,CARIPRAZINE,LURASIDONE,STEP1,,,,,
NeuroPharm13,LONG-ACTING INJECTABLE ANTIPSYCHOTICS (LAIs),PALIPERIDONE PALMITATE,RISPERIDONE,ARIPIPRAZOLE ,HALOPERIDOL DECANOATE,STEP1,,,,,
NeuroPharm14,EPS MANAGEMENT (ANTICHOLINERGICS / OTHERS),BENZTROPINE,TRIHEXYPHENIDYL,DIPHENHYDRAMINE,AMANTADINE,STEP1,,,,,
NeuroPharm14,ANTICONVULSANT MOOD STABILIZERS,VALPROATE,LAMOTRIGINE,CARBAMAZEPINE,OXCARBAZEPINE,STEP1,,,,,
NeuroPharm22,BENZODIAZEPINES (SHORT-INTERMEDIATE),LORAZEPAM,ALPRAZOLAM,OXAZEPAM,TEMAZEPAM,,,,,,
NeuroPharmPsych01,BENZODIAZEPINES (LONG-ACTING),DIAZEPAM,CHLORDIAZEPOXIDE,CLONAZEPAM,CLORAZEPATE,STEP1,,,,,
NeuroPharmPsych02,NON-BENZO GABA-A MODULATORS (Z-DRUGS),ZOLPIDEM,ESZOPICLONE,ZALEPLON,ZOPICLONE,STEP1,,,,,
NeuroPharmPsych03,OREXIN RECEPTOR ANTAGONISTS,SUVOREXANT,LEMBOREXANT,DARIDOREXANT,ALMOREXANT,STEP1,,,,,
NeuroPharmPsych04,MELATONERGIC AGENTS,MELATONIN,RAMELTEON,TASIMELTEON,AGOMELATINE,STEP1,,,,,
NeuroPharmPsych05,WAKE-PROMOTING AGENTS,MODAFINIL,ARMODAFINIL,SOLRIAMFETOL,PITOLISANT,STEP1,,,,,
NeuroPharmPsych06,ADHD STIMULANTS (CATECHOLAMINE ENHANCERS),METHYLPHENIDATE,DEXMETHYLPHENIDATE,AMPHETAMINE,LISDEXAMFETAMINE,STEP1,,,,,
NeuroPharmPsych07,ADHD NONSTIMULANTS (NE / ALPHA-2),ATOMOXETINE,GUANFACINE,CLONIDINE,BUPROPION,STEP1,,,,,
NeuroPharmPsych08,5-HT1B/1D AGONISTS (TRIPTANS),SUMATRIPTAN,RIZATRIPTAN,ZOLMITRIPTAN,ELETRIPTAN,STEP1,,,,,
NeuroPharmPsych09,BETA-ADRENERGIC ANTAGONISTS (PERFORMANCE ANXIETY),PROPRANOLOL,METOPROLOL,ATENOLOL,NADOLOL,STEP1,,,,,
NeuroPharmPsych13,ALCOHOL USE DISORDER,DISULFIRAM,NALTREXONE,ACAMPROSATE,NALOXONE,STEP1,,,,,
NeuroPharmPsych14,OPIOID USE DISORDER,METHADONE,BUPRENORPHINE,NALTREXONE,NALOXONE,STEP1,,,,,
NeuroPharmPsych17,SMOKING CESSATION,VARENICLINE,BUPROPION,NORTRIPTYLINE,NICOTINE,STEP1,,,,,
NeuroPharmPsych18,ACUTE AGITATION / RAPID TRANQUILIZATION,HALOPERIDOL,LORAZEPAM,OLANZAPINE (IM),ZIPRASIDONE (IM),STEP1,,,,,
NeuroPharmPsych20,ANXIOLYTIC H1 ANTIHISTAMINES,HYDROXYZINE,DIPHENHYDRAMINE,DOXYLAMINE,PROMETHAZINE,STEP1,,,,,
NeuroPharmPsych21,SECOND-GENERATION ANTIPSYCHOTICS,CLOZAPINE,OLANZAPINE,QUETIAPINE,CHLORPROMAZINE,STEP1,,,,,
