date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
PulmoPharm1,SHORT-ACTING BETA-2 AGONISTS (SABA),ALBUTEROL,LEVALBUTEROL,TERBUTALINE,FENOTEROL,STEP1,,,,,
PulmoPharm2,LONG-ACTING BETA-2 AGONISTS (LABA),SALMETEROL,FORMOTEROL,INDACATEROL,OLODATEROL,STEP1,,,,,
PulmoPharm3,MUSCARINIC ANTAGONISTS,IPRATROPIUM,ATROPINE,TIOTROPIUM,GLYCOPYRROLATE,STEP1,,,,,
PulmoPharm5,INHALED CORTICOSTEROIDS (ICS),BUDESONIDE,FLUTICASONE,BECLOMETHASONE,MOMETASONE,STEP1,,,,,
PulmoPharm6,ICS/LABA COMBINATION INHALERS,BUDESONIDE/FORMOTEROL,FLUTICASONE/SALMETEROL,FLUTICASONE/VILANTEROL,MOMETASONE/FORMOTEROL,STEP1,,,,,
PulmoPharm7,LAMA/LABA COMBINATION INHALERS,UMECLIDINIUM/VILANTEROL,TIOTROPIUM/OLODATEROL,GLYCOPYRROLATE/FORMOTEROL,ACLIDINIUM/FORMOTEROL,STEP1,,,,,
PulmoPharm9,LEUKOTRIENE RECEPTOR ANTAGONISTS / MODIFIERS,MONTELUKAST,ZAFIRLUKAST,ZILEUTON,PRANLUKAST,STEP1,,,,,
PulmoPharm11,TYPE 2 INFLAMMATION BIOLOGICS (IGE/IL5/IL4R),OMALIZUMAB,MEPOLIZUMAB,BENRALIZUMAB,DUPILUMAB,STEP1,,,,,
PulmoPharm12,EPITHELIAL ALARMIN BLOCKADE (TSLP),TEZEPELUMAB,DUPILUMAB,TRALOKINUMAB,LEBRIKIZUMAB,STEP1,,,,,
PulmoPharm13,PDE-4 INHIBITORS,ROFLUMILAST,APREMILAST,IBUDILAST,CRISABOROLE,STEP1,,,,,
PulmoPharm14,METHYLXANTHINES,THEOPHYLLINE,AMINOPHYLLINE,CAFFEINE CITRATE,DYPROPHYLLINE,STEP1,,,,,
PulmoPharm15,MUCOLYTICS / ANTIOXIDANTS,N-ACETYLCYSTEINE,CARBOCISTEINE,ERDOSTEINE,GUAIFENESIN,STEP1,,,,,
PulmoPharm18,H1 ANTIHISTAMINES ,CETIRIZINE,LORATADINE,FEXOFENADINE,DIPHENHYDRAMINE,STEP1,,,,,
PulmoPharm19,DECONGESTANTS (ALPHA AGONISTS),PSEUDOEPHEDRINE,PHENYLEPHRINE,OXYMETAZOLINE,XYLOMETAZOLINE,STEP1,,,,,
PulmoPharm20,NEURAMINIDASE / CAP-ENDONUCLEASE INHIBITORS (FLU),OSELTAMIVIR,ZANAMIVIR,PERAMIVIR,BALOXAVIR MARBOXIL,STEP1,,,,,
PulmoPharm21,MACROLIDES (50S INHIBITORS),AZITHROMYCIN,CLARITHROMYCIN,ERYTHROMYCIN,ROXITHROMYCIN,STEP1,,,,,
PulmoPharm22,TETRACYCLINES (30S INHIBITORS),DOXYCYCLINE,MINOCYCLINE,TETRACYCLINE,OMADACYCLINE,STEP1,,,,,
PulmoPharm23,RESPIRATORY FLUOROQUINOLONES (DNA GYRASE INHIBITORS),LEVOFLOXACIN,MOXIFLOXACIN,GEMIFLOXACIN,DELAFLOXACIN,STEP1,,,,,
PulmoPharm24,BETA-LACTAMS (AMINOPENICILLINS),AMOXICILLIN,AMPICILLIN,AMOXICILLIN-CLAVULANATE,AMPICILLIN-SULBACTAM,STEP1,,,,,
PulmoPharm25,BETA-LACTAMS (3RD/4TH GEN CEPHALOSPORINS),CEFTRIAXONE,CEFOTAXIME,CEFTAZIDIME,CEFEPIME,STEP1,,,,,
PulmoPharm26,CARBAPENEMS (BETA-LACTAMS),MEROPENEM,IMIPENEM-CILASTATIN,ERTAPENEM,DORIPENEM,STEP1,,,,,
PulmoPharm32,MACROLIDES,AZITHROMYCIN,ERYTHROMYCIN,CLARITHROMYCIN,ROXITHROMYCIN,STEP1,,,,,
PulmoPharm36,PULMONARY HYPERTENSION,SILDENAFIL,TADALAFIL,BOSENTAN,EPROSTENOL,STEP1,,,,,
PulmoPharm40,ANTIFIBROTICS (IPF),NINTEDANIB,PIRFENIDONE,IMATINIB,BOSENTAN,STEP1,,,,,
PulmoPharm43,DIURETICS (RIGHT HEART FAILURE/PH),FUROSEMIDE,BUMETANIDE,TORSEMIDE,SPIRONOLACTONE,STEP1,,,,,
PulmoPharm44,ACID SUPPRESSION (ASPIRATION/GERD CONTRIBUTOR),OMEPRAZOLE,PANTOPRAZOLE,FAMOTIDINE,ESOMEPRAZOLE,STEP1,,,,,
