date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
RenalPharm1,LOOP DIURETICS (NKCC2 INHIBITORS),FUROSEMIDE,BUMETANIDE,TORSEMIDE,ETHACRYNIC ACID,STEP1,,,,,
RenalPharm2,THIAZIDE / THIAZIDE-LIKE DIURETICS (NCC INHIBITORS),HYDROCHLOROTHIAZIDE,CHLORTHALIDONE,INDAPAMIDE,METOLAZONE,STEP1,,,,,
RenalPharm3,MINERALOCORTICOID RECEPTOR ANTAGONISTS (MRAs),SPIRONOLACTONE,EPLERENONE,FINERENONE,ESAXERENONE,STEP1,,,,,
RenalPharm4,ENaC BLOCKERS (POTASSIUM-SPARING),AMILORIDE,TRIAMTERENE,BENZAMIL,PHENAMIL,STEP1,,,,,
RenalPharm5,ACE INHIBITORS (RAAS),LISINOPRIL,ENALAPRIL,CAPTOPRIL,RAMIPRIL,STEP1,,,,,
RenalPharm6,ARBs (RAAS),LOSARTAN,VALSARTAN,IRBESARTAN,CANDESARTAN,STEP1,,,,,
RenalPharm8,SGLT2 INHIBITORS,DAPAGLIFLOZIN,EMPAGLIFLOZIN,CANAGLIFLOZIN,ERTUGLIFLOZIN,STEP1,,,,,
RenalPharm10,HYPERKALEMIA: MEMBRANE STABILIZATION / SHIFT,CALCIUM GLUCONATE,INSULIN,ALBUTEROL,SODIUM BICARBONATE,STEP1,,,,,
RenalPharm12,PHOSPHATE BINDERS,CALCIUM ACETATE,LANTHANUM CARBONATE,CALCIUM CITRATE,SEVELAMER,STEP1,,,,,
RenalPharm14,VITAMIN D ANALOGS (CKD-MBD),CALCITRIOL,PARICALCITOL,DOXERCALCIFEROL,ALFACALCIDOL,STEP1,,,,,
RenalPharm15,CALCIMIMETICS (CaSR AGONISTS),CINACALCET,ETELCALCETIDE,EVOCALCET,CINACALCET,STEP1,,,,,
RenalPharm19,V2 RECEPTOR ANTAGONISTS (VAPTANS),TOLVAPTAN,CONIVAPTAN,LIXIVAPTAN,SATAVAPTAN,STEP1,,,,,
RenalPharm20,ADPKD: V2 ANTAGONISTS,TOLVAPTAN,CONIVAPTAN,SATAVAPTAN,LIXIVAPTAN,STEP1,,,,,
RenalPharm21,XANTHINE OXIDASE INHIBITORS,ALLOPURINOL,FEBUXOSTAT,OXYPURINOL,TOPIROXOSTAT,STEP1,,,,,
RenalPharm27,ALPHA-1 ANTAGONISTS (RENAL STONE PASSAGE),TAMSULOSIN,ALFUZOSIN,SILODOSIN,TERAZOSIN,STEP1,,,,,
RenalPharm28,IMMUNOSUPPRESSANTS (GLOMERULONEPHRITIS/TRANSPLANT),MYCOPHENOLATE MOFETIL,AZATHIOPRINE,CYCLOPHOSPHAMIDE,TACROLIMUS,STEP1,,,,,
RenalPharm29,CALCINEURIN INHIBITORS,TACROLIMUS,CYCLOSPORINE,VOCLOSPORIN,PIMECROLIMUS,STEP1,,,,,
RenalPharm30,ANTI-CD20 MONOCLONAL ANTIBODIES,RITUXIMAB,OBINUTUZUMAB,OFATUMUMAB,OCRELIZUMAB,STEP1,,,,,
RenalPharm32,ANTIMETABOLITES (FOLATE PATHWAY),METHOTREXATE,LEFLUNOMIDE,MYCOPHENOLATE MOFETIL,AZATHIOPRINE,STEP1,,,,,
RenalPharm33,VASODILATORS (RENAL/HTN CONTEXT),HYDRALAZINE,MINOXIDIL,NITROGLYCERIN,SODIUM NITROPRUSSIDE,STEP1,,,,,
RenalPharm34,CALCIUM CHANNEL BLOCKERS (DHP),AMLODIPINE,NIFEDIPINE,NICARDIPINE,CLEVIDIPINE,STEP1,,,,,
RenalPharm35,CALCIUM CHANNEL BLOCKERS (NON-DHP),DILTIAZEM,VERAPAMIL,BEPRIDIL,GALLOPAMIL,STEP1,,,,,
RenalPharm36,BETA-ADRENERGIC ANTAGONISTS,METOPROLOL,CARVEDILOL,LABETALOL,PROPRANOLOL,STEP1,,,,,
RenalPharm38,ANTIPLATELETS (RENAL CONTEXT),ASPIRIN,CLOPIDOGREL,PRASUGREL,TICAGRELOR,STEP1,,,,,
RenalPharm45,PHOSPHODIESTERASE-5 INHIBITORS (ESRD ED),SILDENAFIL,TADALAFIL,VARDENAFIL,AVANAFIL,STEP1,,,,,
