date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
ReproPharm1,ESTROGEN RECEPTOR AGONISTS (SYSTEMIC),ESTRADIOL,CONJUGATED ESTROGENS,ETHINYL ESTRADIOL,ESTRONE,STEP1,,,,,
ReproPharm2,PROGESTIN RECEPTOR AGONISTS (PROGESTINS),MEDROXYPROGESTERONE,NORETHINDRONE,LEVONORGESTREL,DROSPIRENONE,STEP1,,,,,
ReproPharm4,PROGESTIN-ONLY CONTRACEPTIVES (SYSTEMIC),NORETHINDRONE,DROSPIRENONE,MEDROXYPROGESTERONE (DEPOT),LEVONORGESTREL (IUD),STEP1,,,,,
ReproPharm5,EMERGENCY CONTRACEPTION,LEVONORGESTREL,ULIPRISTAL,MIFEPRISTONE,COPPER IUD,STEP1,,,,,
ReproPharm6,GNRH AGONISTS (DOWNREGULATION),LEUPROLIDE,GOSERELIN,TRIPTORELIN,NAFARELIN,STEP1,,,,,
ReproPharm7,GNRH ANTAGONISTS,CETRORELIX,GANIRELIX,DEGARELIX,RELUGOLIX,STEP1,,,,,
ReproPharm8,AROMATASE INHIBITORS,LETROZOLE,ANASTROZOLE,EXEMESTANE,FORMESTANE,STEP1,,,,,
ReproPharm9,SELECTIVE ESTROGEN RECEPTOR MODULATORS (SERMs),CLOMIPHENE,TAMOXIFEN,RALOXIFENE,BAZEDOXIFENE,STEP1,,,,,
ReproPharm10,SELECTIVE PROGESTERONE RECEPTOR MODULATORS (SPRMs),ULIPRISTAL,MIFEPRISTONE,ASOPRISNIL,TELAPRISTONE,STEP1,,,,,
ReproPharm14,PROSTAGLANDINS (CERVICAL RIPENING / UTEROTONICS),MISOPROSTOL,DINOPROSTONE,CARBOPROST,ALPROSTADIL,STEP1,,,,,
ReproPharm15,ERGOT ALKALOIDS (UTEROTONIC),METHYLERGONOVINE,ERGOMETRINE,ERGONOVINE,ERGOTAMINE,STEP1,,,,,
ReproPharm16,ANTIFIBRINOLYTICS,TRANEXAMIC ACID,AMINOCAPROIC ACID,APROTININ,DESMOPRESSIN,STEP1,,,,,
ReproPharm18,IV ANTIHYPERTENSIVES,LABETALOL,HYDRALAZINE,NIFEDIPINE,NICARDIPINE,STEP1,,,,,
ReproPharm19,UTERINE TOCOLYTICS,NIFEDIPINE,TERBUTALINE,INDOMETHACIN,DILTIAZEM,STEP1,,,,,
ReproPharm28,NITROIMIDAZOLES (VAGINAL/PROTOZOAL),METRONIDAZOLE,TINIDAZOLE,SECNIDAZOLE,NITAZOXANIDE,STEP1,,,,,
ReproPharm29,ANTIFUNGALS (VAGINAL CANDIDIASIS),FLUCONAZOLE,MICONAZOLE,CLOTRIMAZOLE,TERCONAZOLE,STEP1,,,,,
ReproPharm30,TRICHOMONAS AGENTS (NITROIMIDAZOLES),METRONIDAZOLE,TINIDAZOLE,SECNIDAZOLE,METRONIDAZOLE (TOPICAL),STEP1,,,,,
ReproPharm31,BPH/LOWER URINARY TRACT: ALPHA-1 ANTAGONISTS,TAMSULOSIN,ALFUZOSIN,SILODOSIN,DOXAZOSIN,STEP1,,,,,
ReproPharm32,BPH: 5-ALPHA REDUCTASE INHIBITORS,FINASTERIDE,DUTASTERIDE,EPRISTERIDE,FINASTERIDE,STEP1,,,,,
ReproPharm33,ERECTILE DYSFUNCTION: PDE5 INHIBITORS,SILDENAFIL,TADALAFIL,VARDENAFIL,AVANAFIL,STEP1,,,,,
ReproPharm34,ANDROGEN RECEPTOR ANTAGONISTS,FLUTAMIDE,BICALUTAMIDE,ENZALUTAMIDE,APALUTAMIDE,STEP1,,,,,
ReproPharm35,5-ALPHA REDUCTASE INHIBITORS (ANDROGEN MODULATION),FINASTERIDE,DUTASTERIDE,EPRISTERIDE,DUTASTERIDE,STEP1,,,,,
ReproPharm39,ANTICHOLINERGICS (OVERACTIVE BLADDER),OXYBUTYNIN,SOLIFENACIN,TOLTERODINE,DARIFENACIN,STEP1,,,,,
ReproPharm40,BETA-3 AGONISTS (OVERACTIVE BLADDER),MIRABEGRON,VIBEGRON,SOLABEGRON,RITOBEGRON,STEP1,,,,,
