date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
RheumPharm1,NSAIDs (COX INHIBITORS),IBUPROFEN,NAPROXEN,INDOMETHACIN,CELECOXIB,STEP1,,,,,
RheumPharm2,SYSTEMIC GLUCOCORTICOIDS,PREDNISONE,METHYLPREDNISOLONE,DEXAMETHASONE,HYDROCORTISONE,STEP1,,,,,
RheumPharm3,INTRA-ARTICULAR GLUCOCORTICOIDS,TRIAMCINOLONE,METHYLPREDNISOLONE ACETATE,BETAMETHASONE,DEXAMETHASONE,STEP1,,,,,
RheumPharm4,CONVENTIONAL DMARDs (cDMARDs),METHOTREXATE,SULFASALAZINE,HYDROXYCHLOROQUINE,LEFLUNOMIDE,STEP1,,,,,
RheumPharm5,PURINE ANTAGONISTS / ANTIMETABOLITES,AZATHIOPRINE,MYCOPHENOLATE MOFETIL,6-MERCAPTOPURINE,METHOTREXATE,STEP1,,,,,
RheumPharm6,ALKYLATING IMMUNOSUPPRESSANTS,CYCLOPHOSPHAMIDE,CHLORAMBUCIL,MELPHALAN,BUSULFAN,STEP1,,,,,
RheumPharm7,CALCINEURIN INHIBITORS,TACROLIMUS,CYCLOSPORINE,VOCLOSPORIN,PIMECROLIMUS,STEP1,,,,,
RheumPharm8,mTOR INHIBITORS,SIROLIMUS,EVEROLIMUS,TEMSIROLIMUS,RIDAFOROLIMUS,STEP1,,,,,
RheumPharm9,ANTI-TNF BIOLOGICS,ADALIMUMAB,INFLIXIMAB,ETANERCEPT,CERTOLIZUMAB,STEP1,,,,,
RheumPharm11,IL-6 PATHWAY INHIBITORS,TOCILIZUMAB,SARILUMAB,SILTUXIMAB,SATRALIZUMAB,STEP1,,,,,
RheumPharm12,IL-1 PATHWAY INHIBITORS,ANAKINRA,CANAKINUMAB,RILONACEPT,GEVOKIZUMAB,STEP1,,,,,
RheumPharm13,IL-17 PATHWAY INHIBITORS,SECUKINUMAB,IXEKIZUMAB,BRODALUMAB,BIMEKIZUMAB,STEP1,,,,,
RheumPharm14,IL-23 / IL-12-23 INHIBITORS,GUSELKUMAB,RISANKIZUMAB,TILDRAKIZUMAB,USTEKINUMAB,STEP1,,,,,
RheumPharm15,PDE-4 INHIBITOR,APREMILAST,ROFLUMILAST,IBUDILAST,CRISABOROLE,STEP1,,,,,
RheumPharm16,JAK INHIBITORS,TOFACITINIB,BARICITINIB,UPADACITINIB,FILGOTINIB,STEP1,,,,,
RheumPharm18,B-CELL DEPLETION (ANTI-CD20),RITUXIMAB,OBINUTUZUMAB,OFATUMUMAB,OCRELIZUMAB,STEP1,,,,,
RheumPharm22,INTEGRIN ANTAGONISTS,VEDOLIZUMAB,NATALIZUMAB,ETROLIZUMAB,ABRILUMAB,STEP1,,,,,
RheumPharm23,GOUT,ALLOPURINOL,FEBUXOSTAT,PROBENECID,COLCHICINE,STEP1,,,,,
RheumPharm30,ANTIFIBROTICS (RHEUM-ILD),NINTEDANIB,PIRFENIDONE,IMATINIB,BOSENTAN,STEP1,,,,,
RheumPharm32,BISPHOSPHONATES (GLUCOCORTICOID BONE),ALENDRONATE,RISEDRONATE,IBANDRONATE,ZOLEDRONIC ACID,STEP1,,,,,
RheumPharm33,RANKL INHIBITOR (BONE),DENOSUMAB,ROMOSOZUMAB,TERIPARATIDE,ABALOPARATIDE,STEP1,,,,,
RheumPharm35,ANTIMALARIALS,HYDROXYCHLOROQUINE,CHLOROQUINE,QUINACRINE,MEFLOQUINE,STEP1,,,,,
RheumPharm37,ANTIHISTAMINES ,CETIRIZINE,FEXOFENADINE,LORATADINE,DIPHENHYDRAMINE,STEP1,,,,,
RheumPharm43,MUSCLE RELAXANTS (SPASMOLYTICS),BACLOFEN,TIZANIDINE,CYCLOBENZAPRINE,METHOCARBAMOL,STEP1,,,,,
RheumPharm44,IL-5 PATHWAY INHIBITORS (EOSINOPHILIC),MEPOLIZUMAB,RESLIZUMAB,BENRALIZUMAB,DUPILUMAB,STEP1,,,,,
RheumPharm45,C5 / C5a AXIS INHIBITORS,ECULIZUMAB,RAVULIZUMAB,AVACOPAN,VILOBELIMAB,STEP1,,,,,
