Localization,Disease,Pace,Pattern,Etiology,Prompt
Cortex,Ischemic cortical infarct (MCA territory),hyperacute,monophasic,Vascular,"a 68-year-old with sudden, minutes-old contralateral face/arm more than leg weakness with aphasia or neglect, after sudden symptom onset during routine activity; BP elevated on arrival."
Cortex,"Autoimmune encephalitis (e.g., anti-NMDA)",subacute,progressive,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of contralateral face/arm more than leg weakness with aphasia or neglect, following a recent infection or subfebrile illness; symptoms may fluctuate."
Cortex,Focal cortical dysplasia / epilepsy focus,chronic,progressive,Seizure,"a 28-year-old with months to years of contralateral face/arm more than leg weakness with aphasia or neglect, with recurrent brief spells and post-event confusion between otherwise normal days."
Subcortical white matter,Multiple sclerosis (demyelinating plaques),subacute,relapsing,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of progressive gait difficulty and slowed processing with scattered executive dysfunction, following a recent infection or subfebrile illness; symptoms may fluctuate."
Subcortical white matter,Small-vessel ischemic disease (leukoaraiosis),chronic,stepwise,Vascular,"a 68-year-old with months to years of progressive gait difficulty and slowed processing with scattered executive dysfunction, after sudden symptom onset during routine activity; BP elevated on arrival."
Subcortical white matter,Progressive multifocal leukoencephalopathy (PML),subacute,progressive,Infectious,"a 45-year-old with days to weeks of progressive gait difficulty and slowed processing with scattered executive dysfunction, with low-grade fevers or recent infection; mild leukocytosis present."
Basal ganglia,Hypertensive intracerebral hemorrhage (putamen),hyperacute,monophasic,Vascular,"a 68-year-old with sudden, minutes-old contralateral pure motor signs with mild dysarthria and bradykinesia features, after sudden symptom onset during routine activity; BP elevated on arrival."
Basal ganglia,Lacunar infarct (lenticulostriate),acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old contralateral pure motor signs with mild dysarthria and bradykinesia features, after sudden symptom onset during routine activity; BP elevated on arrival."
Basal ganglia,Wilson disease (copper deposition),chronic,progressive,Metabolic,"a 58-year-old with months to years of contralateral pure motor signs with mild dysarthria and bradykinesia features, with nutritional/endocrine risk factors and subacute progression."
Thalamus,Thalamic ischemic infarct (PCA perforators),acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old contralateral numbness and dysesthesia with mild confusion or vertical gaze issues, after sudden symptom onset during routine activity; BP elevated on arrival."
Thalamus,Hypertensive thalamic hemorrhage,hyperacute,monophasic,Vascular,"a 68-year-old with sudden, minutes-old contralateral numbness and dysesthesia with mild confusion or vertical gaze issues, after sudden symptom onset during routine activity; BP elevated on arrival."
Thalamus,Deep cerebral venous thrombosis with bithalamic lesions,subacute,monophasic,Vascular,"a 68-year-old with days to weeks of contralateral numbness and dysesthesia with mild confusion or vertical gaze issues, after sudden symptom onset during routine activity; BP elevated on arrival."
Midbrain,"Midbrain infarct (e.g., Weber syndrome)",acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old ipsilateral cranial nerve III palsy with contralateral hemiparesis, after sudden symptom onset during routine activity; BP elevated on arrival."
Midbrain,Tectal glioma,chronic,progressive,Neoplastic,"a 56-year-old with months to years of ipsilateral cranial nerve III palsy with contralateral hemiparesis, with progressive course and mild morning headaches; exam worsens over weeks."
