APHASIA,Language impairment from dominant hemisphere lesion.,Cognitive
APRAXIA,Impaired learned motor acts despite intact strength.,Cognitive
AGNOSIA,Inability to recognize despite intact sensation.,Cognitive
DELIRIUM,Acute fluctuating inattention and altered awareness.,Cognitive
DEMENTIA,Chronic acquired cognitive decline affecting function.,Cognitive
PROSOPAGNOSIA,Face blindness from fusiform gyrus lesion.,Cognitive
AMNESIA,Impaired memory encoding or retrieval.,Cognitive
ALEXIA,Reading impairment; may spare writing.,Cognitive
ACALCULIA,Impaired calculation; Gerstmann component.,Cognitive
DYSEXECUTIVE,"Poor planning, set-shifting, working memory.",Cognitive
ALZHEIMER,Amyloid and tau pathology with progressive memory loss.,Cognitive
LEWY BODY,"Visual hallucinations, parkinsonism, REM sleep behavior disorder.",Cognitive
FRONTOTEMPORAL,Early behavioral/language variant neurodegeneration.,Cognitive
PRIMARY PROGRESSIVE APHASIA,Gradual language impairment with relative sparing of memory early.,Cognitive
SEMANTIC DEMENTIA,Loss of word meaning and object knowledge.,Cognitive
LOGOPENIC APHASIA,Word-finding pauses with impaired repetition.,Cognitive
MILD COGNITIVE IMPAIRMENT,Objective deficit without major functional loss.,Cognitive
KLUVER BUCY,"Hyperorality, hypersexuality, visual agnosia from bilateral temporal lesions.",Cognitive
GERSTMANN,"Agraphia, acalculia, finger agnosia, left-right disorientation.",Cognitive
HEMISPATIAL NEGLECT,"Inattention to one side of space, usually with right parietal lesions.",Cognitive
FRONTAL DISINHIBITION,Impulsivity and poor judgment from orbitofrontal injury.,Cognitive
CAPGRAS,Delusional misidentification of familiar people as impostors.,Cognitive
OPTIC NEURITIS,Painful vision loss; afferent pupillary defect.,Demyelinating
TRANSVERSE MYELITIS,Subacute bilateral sensory and motor cord dysfunction.,Demyelinating
LHERMITTE,Electric shock down spine with neck flexion.,Demyelinating
DAWSON FINGERS,MS periventricular radial lesions on FLAIR.,Demyelinating
UHTHOFF PHENOMENON,Heat-induced transient neurologic worsening in MS.,Demyelinating
NEUROMYELITIS OPTICA,AQP4-IgG disease with optic neuritis and longitudinal myelitis.,Demyelinating
MOGAD,"Myelitis, optic neuritis; MOG-IgG positive.",Demyelinating
BALO CONCENTRIC SCLEROSIS,Concentric ring demyelination variant of MS.,Demyelinating
SCHILDER,Childhood diffuse myelin loss; leukodystrophy-like.,Demyelinating
TUMEFACTIVE,Mass-like demyelinating lesion mimicking tumor.,Demyelinating
LETMS,Cord lesion spanning â‰¥3 vertebral segments.,Demyelinating
PRIMARY PROGRESSIVE MS,Gradual disability accumulation without relapses.,Demyelinating
SECONDARY PROGRESSIVE MS,Worsening after initial relapsing course.,Demyelinating
ADEM,"Monophasic post-infectious demyelination, especially children.",Demyelinating
NERVE CONDUCTION,NCS shows demyelinating vs axonal patterns.,Diagnostics
CSF ANALYSIS,"Opening pressure, cells, protein, glucose, culture, PCR.",Diagnostics
FLAIR,Suppresses CSF signal to reveal parenchymal lesions.,Diagnostics
DWI,Highlights restricted diffusion in acute ischemia.,Diagnostics
CT ANGIOGRAM,Noninvasive arterial imaging for occlusion and stenosis.,Diagnostics
EEG MONITORING,Detects seizures and nonconvulsive status.,Diagnostics
VIDEO EEG,Correlates events with scalp EEG to classify spells.,Diagnostics
EVOKED POTENTIALS,Assesses conduction in sensory pathways.,Diagnostics
SINGLE FIBER EMG,Sensitive test for NMJ transmission failure.,Diagnostics
VISUAL EVOKED POTENTIALS,Assess optic pathway conduction delay.,Diagnostics
OLIGOCLONAL BANDS,Intrathecal IgG synthesis supporting MS.,Diagnostics
SUSCEPTIBILITY WEIGHTED,Imaging that highlights microbleeds and venous blood products.,Diagnostics
CT PERFUSION,Maps penumbra and core in acute stroke triage.,Diagnostics
CAROTID ULTRASOUND,Noninvasive plaque and stenosis assessment.,Diagnostics
TRANSCRANIAL DOPPLER,Velocity monitoring for vasospasm and shunt detection.,Diagnostics
NEUROFILAMENT LIGHT CHAIN,Blood or CSF biomarker of axonal injury.,Diagnostics
AQP4 ANTIBODY,Serologic test for neuromyelitis optica spectrum.,Diagnostics
MUSK ANTIBODY,Detects seronegative MG variant.,Diagnostics
ABSENCE,Brief staring spells with 3-Hz spike-wave on EEG.,Epilepsy
FOCAL SEIZURE,Originates in one hemisphere; Â± impaired awareness.,Epilepsy
SEIZURE CLUSTERS,Multiple seizures within 24â€“48 hours.,Epilepsy
WEST SYNDROME,Infantile spasms with hypsarrhythmia; developmental regression.,Epilepsy
