date,title,word1,clue1,word2,clue2,word3,clue3,word4,clue4,word5,clue5,word6,clue6,word7,clue7,word8,author,author_blurb
1-Jan,Stroke Raddle,STROKE,A common large-vessel territory for acute {W}.,MCA,Dominant-hemisphere {W} can cause this language deficit.,APHASIA,Nonfluent {W} often localizes here.,BROCA,{W} lives in this lobe.,FRONTAL,The primary {W} strip is best known for this function.,MOTOR,Plain-English synonym for {W}.,WEAKNESS,Rehab goal after {W}: functional ______.,RECOVERY,Test Author1,Test Blurb1
2-Jan,Seizure Raddle,AURA,{W} can be the warning before this event.,SEIZURE,One phase of a generalized {W}: stiffening.,TONIC,"After {W}, this phase is rhythmic jerking.",CLONIC,"After a {W}, many patients are this.",POSTICTAL,A common test ordered for spells with {W} confusion.,EEG,Classic interictal {W} finding.,SPIKE,A unilateral {W} often points to a seizure ______.,FOCUS,Test Author2,Test Blurb2
3-Jan,Thunderclap & SAH Raddle,ANEURYSM,Catastrophic event when an {W} breaks.,RUPTURE,Classic presentation: sudden severe ______ headache.,THUNDERCLAP,First test ordered for {W} headache.,CTSCAN,"If {W} is negative but suspicion remains, consider this procedure.",LUMBAR,A CSF finding that supports prior bleeding after {W}.,XANTHOCHROMIA,Delayed complication after aneurysmal SAH: cerebral {W}.,VASOSPASM,Medication used after SAH to reduce {W}.,NIMODIPINE,Test Author3,Test Blurb3
4-Jan,Visual pathway Raddle,RETINA,The {W} sends signals via the ______ nerve.,OPTIC,Where {W} fibers partially cross.,CHIASM,"After the {W}, fibers form this.",TRACT,{W} synapses in a thalamic relay station.,THALAMUS,Fibers leaving the {W} are called optic ______.,RADIATION,Termination of {W} near the ______ sulcus.,CALCARINE,The {W} region is part of primary visual ______.,CORTEX,Test Author4,Test Blurb4
5-Jan,Parkinsonism Raddle,DOPAMINE,{W} neurons are lost in substantia ______.,NIGRA,Degeneration affecting {W} circuits contributes to this diagnosis.,PARKINSON,Classic rest {W}.,TREMOR,Another motor sign often paired with {W}.,RIGIDITY,Core feature: slowness plus {W}.,BRADYKINESIA,{W} changes show up as shuffling ______.,GAIT,Sudden inability to step during {W}.,FREEZE,Test Author5,Test Blurb5
6-Jan,Meningitis Raddle,MENINGES,Infectious inflammation of the {W} is evaluated with this fluid.,CSF,Elevated WBCs in {W} is called this.,PLEOCYTOSIS,Infectious meningitis often includes {W} plus headache.,FEVER,Classic triad includes fever and neck ______.,NECK,Another symptom often reported with {W}.,PHOTOPHOBIA,For suspected bacterial meningitis: start this now.,ANTIBIOTIC,Common empiric IV {W} for bacterial meningitis.,CEFTRIAXONE,Test Author6,Test Blurb6
7-Jan,Spinal cord signs Raddle,CORD,Bundles within the {W}.,TRACT,The major descending {W} pathway for voluntary movement.,CORTICOSPINAL,Upper motor neuron lesions can cause this tone: {W}.,SPASTIC,Along with {W} tone you often see this.,HYPERREFLEXIA,Another upper motor neuron sign besides hyperreflexia: {W}.,BABINSKI,Neurology superpower: ______ the lesion.,LOCALIZE,"If you can {W}, you can diagnose spinal ______.",MYELOPATHY,Test Author7,Test Blurb7
8-Jan,Cerebellar exam Raddle,ATAXIA,Classic localization for {W}.,CEREBELLUM,One way to assess {W} is watching the patient walk.,GAIT,A {W} can be this in cerebellar disease.,WIDEBASED,Cerebellar signs include {W} plus this eye finding.,NYSTAGMUS,______ tremor often accompanies {W} syndromes.,INTENTION,"Beyond tremor, finger-to-nose can show this.",DYSMETRIA,Cerebellar speech finding sometimes paired with {W}.,DYSARTHRIA,Test Author8,Test Blurb8
9-Jan,Myasthenia Raddle,PTOSIS,{W} can be an ocular sign in neuromuscular junction disease; the other common complaint is ______.,DIPLOPIA,Key property of {W} weakness in this disease: it is ______ (worse with exertion).,FATIGABLE,{W} is a form of ______ that improves with rest.,WEAKNESS,Classic autoimmune diagnosis causing fluctuating {W}.,MYASTHENIA,Most common antibody target in {W}: ______ receptor.,ACHR,First-line symptomatic medication for {W}: ______.,PYRIDOSTIGMINE,Escalation option when {W} becomes severe or rapidly progressive.,IVIG,Test Author9,Test Blurb9
10-Jan,Multiple sclerosis Raddle,OPTIC,Painful monocular vision loss is a classic presentation of {W} ______.,NEURITIS,Pathologic process underlying {W} in Multiple sclerosis.,DEMYELINATION,MRI correlate of focal {W}.,PLAQUE,Common MRI location for {W}: ______ white matter.,PERIVENTRICULAR,CSF finding supportive of inflammatory demyelination alongside {W} lesions: ______ bands.,OLIGOCLONAL,Diagnosis suggested by {W} bands + lesions disseminated in time and space.,MULTIPLESCLEROSIS,"In relapsing {W}, episodes may be followed by partial or complete ______.",REMISSION,Test Author10,Test Blurb10
11-Jan,,,,,,,,,,,,,,,,,,
12-Jan,,,,,,,,,,,,,,,,,,
13-Jan,,,,,,,,,,,,,,,,,,
14-Jan,,,,,,,,,,,,,,,,,,
15-Jan,,,,,,,,,,,,,,,,,,
16-Jan,,,,,,,,,,,,,,,,,,
17-Jan,,,,,,,,,,,,,,,,,,
18-Jan,,,,,,,,,,,,,,,,,,
19-Jan,,,,,,,,,,,,,,,,,,
20-Jan,,,,,,,,,,,,,,,,,,
21-Jan,,,,,,,,,,,,,,,,,,
22-Jan,,,,,,,,,,,,,,,,,,
23-Jan,,,,,,,,,,,,,,,,,,
24-Jan,,,,,,,,,,,,,,,,,,
25-Jan,,,,,,,,,,,,,,,,,,
26-Jan,,,,,,,,,,,,,,,,,,
27-Jan,,,,,,,,,,,,,,,,,,
28-Jan,,,,,,,,,,,,,,,,,,
29-Jan,,,,,,,,,,,,,,,,,,
30-Jan,,,,,,,,,,,,,,,,,,
31-Jan,,,,,,,,,,,,,,,,,,
1-Feb,,,,,,,,,,,,,,,,,,
2-Feb,,,,,,,,,,,,,,,,,,
3-Feb,,,,,,,,,,,,,,,,,,
4-Feb,,,,,,,,,,,,,,,,,,
5-Feb,,,,,,,,,,,,,,,,,,
6-Feb,,,,,,,,,,,,,,,,,,
7-Feb,,,,,,,,,,,,,,,,,,
8-Feb,,,,,,,,,,,,,,,,,,
9-Feb,,,,,,,,,,,,,,,,,,
10-Feb,,,,,,,,,,,,,,,,,,
11-Feb,,,,,,,,,,,,,,,,,,
12-Feb,,,,,,,,,,,,,,,,,,
13-Feb,,,,,,,,,,,,,,,,,,
