date,title,word1,clue1,word2,clue2,word3,clue3,word4,clue4,word5,clue5,word6,clue6,word7,clue7,word8,author,author_blurb
1/1/2026,Stroke Raddle,STROKE,A common large-vessel territory for acute {W}.,MCA,Dominant-hemisphere {W} can cause this language deficit.,APHASIA,Nonfluent {W} often localizes to this area.,BROCA,{W} lives in this lobe.,FRONTAL,A prominent area in the frontal lobe is the {W} strip.,MOTOR,Dysfunction in {W} capability.,WEAKNESS,Rehab goal after {W}: functional ______.,RECOVERY,Test Author1,Test Blurb1
1/2/2026,Seizure Raddle,AURA,An {W} can be a sensory warning that precedes this event.,SEIZURE,"In a generalized {W}, the stiffening phase is called ____.",TONIC,"After the {W} phase, the next phase is rhythmic jerking: ____.",CLONIC,"After the {W} phase ends, patients often enter the ____ period.",POSTICTAL,"During the {W} period, clinicians often order this study to record brain rhythms: ____.",EEG,"On an {W}, a classic interictal epileptiform discharge is a ____.",SPIKE,A unilateral {W} suggests a seizure ____ (rather than generalized onset).,FOCUS,Test Author2,Test Blurb2
1/3/2026,Thunderclap & SAH Raddle,ANEURYSM,Aneurysmal subarachnoid hemorrhage occurs when an intracranial {W} undergoes ____.,RUPTURE,The hallmark symptom at the moment of {W} is a ____ headache (maximal at onset).,THUNDERCLAP,First-line imaging for a {W} headache is a noncontrast ____.,CTSCAN,"If the initial {W} is negative but suspicion for SAH remains, the next diagnostic step is ____.",LUMBARPUNCTURE,"On {W}, a yellow CSF supernatant supporting recent bleeding is called ____.",XANTHOCHROMIA,"After SAH is supported by {W}, a feared delayed complication is cerebral ____.",VASOSPASM,"To reduce poor outcomes from {W} after aneurysmal SAH, give ____.",NIMODIPINE,Test Author3,Test Blurb3
1/4/2026,Cardioembolic Aphasia Raddle,ATRIALFIBRILLATION,"In nonvalvular {W}, thrombus often forms in the left atrial appendage and can become this traveling clot.",EMBOLUS,A cardioembolic {W} commonly lodges in the proximal anterior circulationâ€”classically the ____ artery.,MCA,Dominant-hemisphere {W} occlusion often causes this language deficit.,APHASIA,"In expressive {W}, the lesion localizes to this eponymous language area.",BROCA,"{W} area sits in the inferior frontal gyrus, part of the ____ lobe.",FRONTAL,The {W} lobe's lateral surface includes this cortex over the insula involved in speech production.,OPERCULUM,The {W} overlies the insula; the insula is supplied by deep perforators called ____ arteries.,LENTICULOSTRIATE,Test Author4,Test Blurb4
1/5/2026,Ascending Weakness Raddle,CAMPYLOBACTER,A recent diarrheal illness from {W} can trigger this acute autoimmune neuropathy.,GUILLAINBARRE,A classic exam finding in {W} is ____.,AREFLEXIA,{W} plus progressive symmetric weakness in GBS classically has an ____ pattern.,ASCENDING,"With {W} weakness, bedside monitoring focuses on declining ____ capacity.",VITAL,A dangerously low {W} capacity may necessitate ____.,INTUBATION,"For severe cases requiring {W}, first-line immunotherapy includes ____.",IVIG,An alternative to {W} for severe cases is ____.,PLASMAPHERESIS,Test Author5,Test Blurb5
1/6/2026,CNS Infection Workup Raddle,FEVER,{W} with headache and neck stiffness raises concern for this CNS infection.,MENINGITIS,"Before antibiotics in suspected {W}, obtain blood cultures and perform this procedure when safe: ____.",LUMBARPUNCTURE,"After {W}, the first lab result clinicians check is the CSF ____ count differential.",LEUKOCYTES,A predominance of {W} suggests a bacterial (rather than viral) pattern: ____.,NEUTROPHILS,"If {W} dominate, empiric therapy for adults often includes ____ plus vancomycin (and ampicillin when indicated).",CEFTRIAXONE,Adjunct {W} can be paired with this anti-inflammatory given before/with first antibiotics in select cases: ____.,DEXAMETHASONE,"After starting {W}, narrow therapy once this result identifies the organism: CSF ____.",CULTURE,Test Author6,Test Blurb6
1/7/2026,Optic Neuritis Raddle,OPTICNEURITIS,A common presenting symptom in {W} is eye pain with ____ movements.,EYE,Pain with {W} movement plus decreased acuity often shows this pupil finding.,RAPD,"After identifying an {W}, the next step is brain/orbit ____ to assess demyelinating risk.",MRI,Periventricular white matter lesions on {W} raise concern for this diagnosis over time: ____.,MULTIPLESCLEROSIS,"In {W}, CSF can show intrathecal IgG synthesis via ____ bands.",OLIGOCLONAL,Acute visual loss in {W} is often treated with high-dose IV ____.,METHYLPREDNISOLONE,"After {W}, the usual expectation is gradual visual ____ over weeks.",RECOVERY,Test Author7,Test Blurb7
1/8/2026,Myasthenia Chain Raddle,PTOSIS,Fluctuating {W} that worsens with use points toward this neuromuscular junction disorder.,MYASTHENIAGRAVIS,"In {W}, confirm autoimmune etiology by testing for this receptor antibody: ____.",ACHR,"If {W} antibodies are present, evaluate for associated mediastinal tumor: ____.",THYMOMA,Screening for a {W} is typically done with a ____ of the chest.,CT,Symptomatic treatment of {W} commonly starts with this acetylcholinesterase inhibitor: ____.,PYRIDOSTIGMINE,"If {W} symptoms are inadequate controlled, longer-term therapy often includes an immunosuppressant like ____.",AZATHIOPRINE,"For severe exacerbations despite {W} (or for rapid rescue), use ____ or plasma exchange.",IVIG,Test Author8,Test Blurb8
1/9/2026,Deep ICH Raddle,HYPERTENSION,Chronic {W} predisposes to rupture of small deep perforators and this type of bleed.,ICH,The most common initial test to confirm {W} is noncontrast ____.,CTSCAN,"On {W}, clinicians estimate hematoma size using the ____/2 method.",ABC2,A larger {W} predicts early neurologic decline from mass effect and rising ____ pressure.,INTRACRANIAL,"With elevated {W} pressure, one exam sign is papilledema and reduced level of ____.",CONSCIOUSNESS,"In {W} care, rapid blood pressure control targets prevention of hematoma ____.",EXPANSION,"After {W} risk is addressed, next priorities include VTE prophylaxis and early ____.",REHABILITATION,Test Author9,Test Blurb9
1/10/2026,Visual Pathway Raddle,HEMIANOPSIA,"A homonymous {W} localizes posterior to the optic chiasm, often involving this lobe.",OCCIPITAL,Primary visual cortex in the {W} lobe lies along this sulcus: ____.,CALCARINE,Lesions sparing the occipital pole can cause {W} cortex injury with ____ sparing.,MACULARSPARING,{W} often occurs with posterior cerebral artery involvement; the key vessel is the ____ artery.,PCA,The {W} supplies deep structures; infarcts can involve this relay nucleus for vision: ____ geniculate nucleus.,LATERAL,The {W} geniculate nucleus receives fibers from this tract: ____ tract.,OPTIC,The {W} tract carries information from which retinal half of each eye? The ____ retina.,NASAL,Test Author10,Test Blurb10
1/11/2026,,,,,,,,,,,,,,,,,,
1/12/2026,,,,,,,,,,,,,,,,,,
1/13/2026,,,,,,,,,,,,,,,,,,
1/14/2026,,,,,,,,,,,,,,,,,,
1/15/2026,,,,,,,,,,,,,,,,,,
1/16/2026,,,,,,,,,,,,,,,,,,
1/17/2026,,,,,,,,,,,,,,,,,,
1/18/2026,,,,,,,,,,,,,,,,,,
1/19/2026,,,,,,,,,,,,,,,,,,
1/20/2026,,,,,,,,,,,,,,,,,,
1/21/2026,,,,,,,,,,,,,,,,,,
1/22/2026,,,,,,,,,,,,,,,,,,
1/23/2026,,,,,,,,,,,,,,,,,,
1/24/2026,,,,,,,,,,,,,,,,,,
1/25/2026,,,,,,,,,,,,,,,,,,
1/26/2026,,,,,,,,,,,,,,,,,,
1/27/2026,,,,,,,,,,,,,,,,,,
1/28/2026,,,,,,,,,,,,,,,,,,
