ACALCULIA,Impaired calculation; Gerstmann component.,Cognitive
AGNOSIA,Inability to recognize despite intact sensation.,Cognitive
AGRAPHIA,Impaired writing ability.,Cognitive
ALEXIA,Reading impairment; may spare writing.,Cognitive
ALEXIA WITH AGRAPHIA,Reading and writing impairment from angular gyrus.,Cognitive
ALZHEIMER,Amyloid and tau pathology with progressive memory loss.,Cognitive
ALZHEIMER DISEASE,Progressive amnestic dementia with temporoparietal atrophy.,Cognitive
AMNESIA,Impaired memory encoding or retrieval.,Cognitive
ANOSODIAPHORIA,Indifference to deficits; right hemisphere lesions.,Cognitive
APATHY,Loss of motivation independent of mood.,Cognitive
APHASIA,Language impairment from dominant hemisphere lesion.,Cognitive
APRAXIA,Impaired learned motor acts despite intact strength.,Cognitive
APROSODIA,Monotone speech lacking emotional intonation.,Cognitive
CAPGRAS,Delusional misidentification of familiar people as impostors.,Cognitive
CIRCUMLOCUTION,Talking around missing words.,Cognitive
COTARD ,Nihilistic delusion of being dead/nonexistent.,Cognitive
DEJA VU ,Persistent familiarity illusions; temporal lobe.,Cognitive
DELIRIUM,Acute fluctuating inattention and altered awareness.,Cognitive
DEMENTIA,Chronic acquired cognitive decline affecting function.,Cognitive
DISINHIBITION,Impulsive socially inappropriate behavior.,Cognitive
DRESSING APRAXIA,Difficulty orienting clothing to the body.,Cognitive
DYSCALCULIA,Developmental or acquired math impairment.,Cognitive
DYSEXECUTIVE,"Poor planning, set-shifting, working memory.",Cognitive
ECHOAPRAXIA,Imitation of examiner movements.,Cognitive
FRONTAL DISINHIBITION,Impulsivity and poor judgment from orbitofrontal injury.,Cognitive
FRONTOTEMPORAL,Early behavioral/language variant neurodegeneration.,Cognitive
FRONTOTEMPORAL DEMENTIA,Behavioral disinhibition or nonfluent/semantic aphasia.,Cognitive
GERSTMANN,"Agraphia, acalculia, finger agnosia, left-right disorientation.",Cognitive
HEMISPATIAL NEGLECT,"Inattention to one side of space, usually with right parietal lesions.",Cognitive
IDEOMOTOR APRAXIA,Impaired mimed tool use to command.,Cognitive
KLUVER BUCY,"Hyperorality, hypersexuality, visual agnosia from bilateral temporal lesions.",Cognitive
KORSAKOFF ,Anterograde amnesia with confabulation; thiamine deficiency.,Cognitive
