ACALCULIA,Impaired calculation; Gerstmann component.,Cognitive
AGNOSIA,Inability to recognize despite intact sensation.,Cognitive
AGRAPHIA,Impaired writing ability.,Cognitive
ALEXIA,Reading impairment; may spare writing.,Cognitive
ALEXIA WITH AGRAPHIA,Reading and writing impairment from angular gyrus.,Cognitive
ALZHEIMER,Amyloid and tau pathology with progressive memory loss.,Cognitive
ALZHEIMER DISEASE,Progressive amnestic dementia with temporoparietal atrophy.,Cognitive
AMNESIA,Impaired memory encoding or retrieval.,Cognitive
,,
APATHY,Loss of motivation independent of mood.,Cognitive
APHASIA,Language impairment from dominant hemisphere lesion.,Cognitive
APRAXIA,Impaired learned motor acts despite intact strength.,Cognitive
,,
,,
,,
,,
DEJA VU ,Persistent familiarity illusions; temporal lobe.,Cognitive
DELIRIUM,Acute fluctuating inattention and altered awareness.,Cognitive
DEMENTIA,Chronic acquired cognitive decline affecting function.,Cognitive
DISINHIBITION,Impulsive socially inappropriate behavior.,Cognitive
,,
,,
,,
,,
FRONTAL DISINHIBITION,Impulsivity and poor judgment from orbitofrontal injury.,Cognitive
FRONTOTEMPORAL,Early behavioral/language variant neurodegeneration.,Cognitive
FRONTOTEMPORAL DEMENTIA,Behavioral disinhibition or nonfluent/semantic aphasia.,Cognitive
,,
HEMISPATIAL NEGLECT,"Inattention to one side of space, usually with right parietal lesions.",Cognitive
,,
,,
KORSAKOFF ,Anterograde amnesia with confabulation; thiamine deficiency.,Cognitive
LEWY BODY DEMENTIA,"Visual hallucinations, parkinsonism, fluctuating attention.",Cognitive
,,
MILD COGNITIVE IMPAIRMENT,Objective deficit without major functional loss.,Cognitive
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
VASCULAR DEMENTIA,Stepwise decline with executive dysfunction; lacunes.,Cognitive
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
OPTIC NEURITIS,Painful vision loss; afferent pupillary defect.,Demyelinating
,,
CENTRAL PONTINE MYELINOLYSIS,Rapid Na correction,Demyelinating
,,
,,
,,
,,
,,
,,
TRANSVERSE MYELITIS,Subacute bilateral sensory and motor cord dysfunction.,Demyelinating
,,
,,
,,
,,
CAROTID ULTRASOUND,Noninvasive plaque and stenosis assessment.,Diagnostics
